"Title","Remand status at Crown Court by ethnicity"
"Location","England and Wales"
"Time period","2012 to 2016"
"Data source","Criminal Justice Statistics https://www.gov.uk/government/statistics/criminal-justice-system-statistics-quarterly-september-2016"
"Source","https://www.ethnicityfactsandfigures.digitalbeta.org.uk"

"Year","Remand status at the Crown Court","Sex","Age group","Ethnicity","  Total defendants  ","  Number in each group with each remand status  ","Percentage"
"2012","Not remanded","All","All"," White"," 71,817 "," 12,479 ","17.4"
"2012","Not remanded","All","All"," Black"," 10,468 "," 1,145 ","10.9"
"2012","Not remanded","All","All"," Asian"," 7,294 "," 716 ","9.8"
"2012","Not remanded","All","All"," Mixed"," 3,141 "," 457 ","14.5"
"2012","Not remanded","All","All"," Chinese or other"," 1,823 "," 261 ","14.3"
"2012","Not remanded","All","All"," Not stated"," 10,400 "," 1,942 ","18.7"
"2013","Not remanded","All","All"," White"," 67,508 "," 12,160 ","18.0"
"2013","Not remanded","All","All"," Black"," 9,516 "," 1,087 ","11.4"
"2013","Not remanded","All","All"," Asian"," 6,852 "," 697 ","10.2"
"2013","Not remanded","All","All"," Mixed"," 2,921 "," 426 ","14.6"
"2013","Not remanded","All","All"," Chinese or other"," 1,646 "," 214 ","13.0"
"2013","Not remanded","All","All"," Not stated"," 10,549 "," 1,824 ","17.3"
"2014","Not remanded","All","All"," White"," 68,156 "," 10,524 ","15.4"
"2014","Not remanded","All","All"," Black"," 9,313 "," 903 ","9.7"
"2014","Not remanded","All","All"," Asian"," 6,637 "," 616 ","9.3"
"2014","Not remanded","All","All"," Mixed"," 2,810 "," 374 ","13.3"
"2014","Not remanded","All","All"," Chinese or other"," 1,532 "," 170 ","11.1"
"2014","Not remanded","All","All"," Not stated"," 11,948 "," 1,969 ","16.5"
"2015","Not remanded","All","All"," White"," 67,403 "," 9,592 ","14.2"
"2015","Not remanded","All","All"," Black"," 9,151 "," 926 ","10.1"
"2015","Not remanded","All","All"," Asian"," 6,744 "," 590 ","8.7"
"2015","Not remanded","All","All"," Mixed"," 2,801 "," 322 ","11.5"
"2015","Not remanded","All","All"," Chinese or other"," 1,588 "," 166 ","10.5"
"2015","Not remanded","All","All"," Not stated"," 14,299 "," 2,261 ","15.8"
"2016","Not remanded","All","All"," White"," 59,936 "," 10,512 ","17.5"
"2016","Not remanded","All","All"," Black"," 9,046 "," 1,160 ","12.8"
"2016","Not remanded","All","All"," Asian"," 6,203 "," 715 ","11.5"
"2016","Not remanded","All","All"," Mixed"," 2,509 "," 401 ","16.0"
"2016","Not remanded","All","All"," Chinese or other"," 1,357 "," 155 ","11.4"
"2016","Not remanded","All","All"," Not stated"," 16,620 "," 2,873 ","17.3"
"2012","Bail","All","All"," White"," 71,817 "," 35,535 ","49.5"
"2012","Bail","All","All"," Black"," 10,468 "," 4,580 ","43.8"
"2012","Bail","All","All"," Asian"," 7,294 "," 4,052 ","55.6"
"2012","Bail","All","All"," Mixed"," 3,141 "," 1,380 ","43.9"
"2012","Bail","All","All"," Chinese or other"," 1,823 "," 749 ","41.1"
"2012","Bail","All","All"," Not stated"," 10,400 "," 5,143 ","49.5"
"2013","Bail","All","All"," White"," 67,508 "," 31,888 ","47.2"
"2013","Bail","All","All"," Black"," 9,516 "," 4,052 ","42.6"
"2013","Bail","All","All"," Asian"," 6,852 "," 3,772 ","55.0"
"2013","Bail","All","All"," Mixed"," 2,921 "," 1,238 ","42.4"
"2013","Bail","All","All"," Chinese or other"," 1,646 "," 662 ","40.2"
"2013","Bail","All","All"," Not stated"," 10,549 "," 5,171 ","49.0"
"2014","Bail","All","All"," White"," 68,156 "," 32,521 ","47.7"
"2014","Bail","All","All"," Black"," 9,313 "," 4,022 ","43.2"
"2014","Bail","All","All"," Asian"," 6,637 "," 3,567 ","53.7"
"2014","Bail","All","All"," Mixed"," 2,810 "," 1,177 ","41.9"
"2014","Bail","All","All"," Chinese or other"," 1,532 "," 684 ","44.6"
"2014","Bail","All","All"," Not stated"," 11,948 "," 6,033 ","50.5"
"2015","Bail","All","All"," White"," 67,403 "," 33,188 ","49.2"
"2015","Bail","All","All"," Black"," 9,151 "," 4,035 ","44.1"
"2015","Bail","All","All"," Asian"," 6,744 "," 3,676 ","54.5"
"2015","Bail","All","All"," Mixed"," 2,801 "," 1,280 ","45.7"
"2015","Bail","All","All"," Chinese or other"," 1,588 "," 728 ","45.8"
"2015","Bail","All","All"," Not stated"," 14,299 "," 7,400 ","51.8"
"2016","Bail","All","All"," White"," 59,936 "," 28,530 ","47.6"
"2016","Bail","All","All"," Black"," 9,046 "," 4,010 ","44.3"
"2016","Bail","All","All"," Asian"," 6,203 "," 3,237 ","52.2"
"2016","Bail","All","All"," Mixed"," 2,509 "," 1,074 ","42.8"
"2016","Bail","All","All"," Chinese or other"," 1,357 "," 670 ","49.4"
"2016","Bail","All","All"," Not stated"," 16,620 "," 8,361 ","50.3"
"2012","Custody","All","All"," White"," 71,817 "," 23,803 ","33.1"
"2012","Custody","All","All"," Black"," 10,468 "," 4,743 ","45.3"
"2012","Custody","All","All"," Asian"," 7,294 "," 2,526 ","34.6"
"2012","Custody","All","All"," Mixed"," 3,141 "," 1,304 ","41.5"
"2012","Custody","All","All"," Chinese or other"," 1,823 "," 813 ","44.6"
"2012","Custody","All","All"," Not stated"," 10,400 "," 3,315 ","31.9"
"2013","Custody","All","All"," White"," 67,508 "," 23,460 ","34.8"
"2013","Custody","All","All"," Black"," 9,516 "," 4,377 ","46.0"
"2013","Custody","All","All"," Asian"," 6,852 "," 2,383 ","34.8"
"2013","Custody","All","All"," Mixed"," 2,921 "," 1,257 ","43.0"
"2013","Custody","All","All"," Chinese or other"," 1,646 "," 770 ","46.8"
"2013","Custody","All","All"," Not stated"," 10,549 "," 3,554 ","33.7"
"2014","Custody","All","All"," White"," 68,156 "," 25,111 ","36.8"
"2014","Custody","All","All"," Black"," 9,313 "," 4,388 ","47.1"
"2014","Custody","All","All"," Asian"," 6,637 "," 2,454 ","37.0"
"2014","Custody","All","All"," Mixed"," 2,810 "," 1,259 ","44.8"
"2014","Custody","All","All"," Chinese or other"," 1,532 "," 678 ","44.3"
"2014","Custody","All","All"," Not stated"," 11,948 "," 3,946 ","33.0"
"2015","Custody","All","All"," White"," 67,403 "," 24,623 ","36.5"
"2015","Custody","All","All"," Black"," 9,151 "," 4,190 ","45.8"
"2015","Custody","All","All"," Asian"," 6,744 "," 2,478 ","36.7"
"2015","Custody","All","All"," Mixed"," 2,801 "," 1,199 ","42.8"
"2015","Custody","All","All"," Chinese or other"," 1,588 "," 694 ","43.7"
"2015","Custody","All","All"," Not stated"," 14,299 "," 4,638 ","32.4"
"2016","Custody","All","All"," White"," 59,936 "," 20,894 ","34.9"
"2016","Custody","All","All"," Black"," 9,046 "," 3,876 ","42.8"
"2016","Custody","All","All"," Asian"," 6,203 "," 2,251 ","36.3"
"2016","Custody","All","All"," Mixed"," 2,509 "," 1,034 ","41.2"
"2016","Custody","All","All"," Chinese or other"," 1,357 "," 532 ","39.2"
"2016","Custody","All","All"," Not stated"," 16,620 "," 5,386 ","32.4"
