"Title","Remand status at Crown Court by ethnicity and age group"
"Location","England and Wales"
"Time period","2012 to 2016"
"Data source","Criminal Justice Statistics https://www.gov.uk/government/statistics/criminal-justice-system-statistics-quarterly-september-2016"
"Source","https://ethnicity-facts-and-figures.herokuapp.com"

"Year","Remand status at the Crown Court","Sex","Age group","Ethnicity"," Total defendants "," Number in each group with each remand status ","Percentage"
"2012","Not remanded","All"," Juveniles"," White"," 1,411 "," 47 ","3.3"
"2012","Not remanded","All"," Juveniles"," Black"," 524 "," 12 ","2.3"
"2012","Not remanded","All"," Juveniles"," Asian"," 221 "," 10 ","4.5"
"2012","Not remanded","All"," Juveniles"," Mixed"," 167 "," 8 ","4.8"
"2012","Not remanded","All"," Juveniles"," Chinese or other"," 61 "," 4 ","6.6"
"2012","Not remanded","All"," Juveniles"," Not stated"," 220 "," 20 ","9.1"
"2012","Not remanded","All"," Young adults"," White"," 9,206 "," 1,584 ","17.2"
"2012","Not remanded","All"," Young adults"," Black"," 1,803 "," 199 ","11.0"
"2012","Not remanded","All"," Young adults"," Asian"," 1,047 "," 115 ","11.0"
"2012","Not remanded","All"," Young adults"," Mixed"," 677 "," 97 ","14.3"
"2012","Not remanded","All"," Young adults"," Chinese or other"," 202 "," 20 ","9.9"
"2012","Not remanded","All"," Young adults"," Not stated"," 1,042 "," 218 ","20.9"
"2012","Not remanded","All"," Adults"," White"," 61,200 "," 10,848 ","17.7"
"2012","Not remanded","All"," Adults"," Black"," 8,141 "," 934 ","11.5"
"2012","Not remanded","All"," Adults"," Asian"," 6,026 "," 591 ","9.8"
"2012","Not remanded","All"," Adults"," Mixed"," 2,297 "," 352 ","15.3"
"2012","Not remanded","All"," Adults"," Chinese or other"," 1,560 "," 237 ","15.2"
"2012","Not remanded","All"," Adults"," Not stated"," 9,138 "," 1,704 ","18.6"
"2013","Not remanded","All"," Juveniles"," White"," 1,159 "," 74 ","6.4"
"2013","Not remanded","All"," Juveniles"," Black"," 412 "," 26 ","6.3"
"2013","Not remanded","All"," Juveniles"," Asian"," 176 "," 5 ","2.8"
"2013","Not remanded","All"," Juveniles"," Mixed"," 160 "," 11 ","6.9"
"2013","Not remanded","All"," Juveniles"," Chinese or other"," 24 "," 4 ","16.7"
"2013","Not remanded","All"," Juveniles"," Not stated"," 201 "," 18 ","9.0"
"2013","Not remanded","All"," Young adults"," White"," 7,293 "," 1,412 ","19.4"
"2013","Not remanded","All"," Young adults"," Black"," 1,434 "," 167 ","11.6"
"2013","Not remanded","All"," Young adults"," Asian"," 838 "," 74 ","8.8"
"2013","Not remanded","All"," Young adults"," Mixed"," 564 "," 92 ","16.3"
"2013","Not remanded","All"," Young adults"," Chinese or other"," 133 "," 19 ","14.3"
"2013","Not remanded","All"," Young adults"," Not stated"," 881 "," 172 ","19.5"
"2013","Not remanded","All"," Adults"," White"," 59,056 "," 10,674 ","18.1"
"2013","Not remanded","All"," Adults"," Black"," 7,670 "," 894 ","11.7"
"2013","Not remanded","All"," Adults"," Asian"," 5,838 "," 618 ","10.6"
"2013","Not remanded","All"," Adults"," Mixed"," 2,197 "," 323 ","14.7"
"2013","Not remanded","All"," Adults"," Chinese or other"," 1,489 "," 191 ","12.8"
"2013","Not remanded","All"," Adults"," Not stated"," 9,467 "," 1,634 ","17.3"
"2014","Not remanded","All"," Juveniles"," White"," 1,088 "," 66 ","6.1"
"2014","Not remanded","All"," Juveniles"," Black"," 313 "," 23 ","7.3"
"2014","Not remanded","All"," Juveniles"," Asian"," 159 "," 14 ","8.8"
"2014","Not remanded","All"," Juveniles"," Mixed"," 133 "," 9 ","6.8"
"2014","Not remanded","All"," Juveniles"," Chinese or other"," 25 "," NA ","#VALUE!"
"2014","Not remanded","All"," Juveniles"," Not stated"," 187 "," 18 ","9.6"
"2014","Not remanded","All"," Young adults"," White"," 7,161 "," 1,154 ","16.1"
"2014","Not remanded","All"," Young adults"," Black"," 1,367 "," 129 ","9.4"
"2014","Not remanded","All"," Young adults"," Asian"," 826 "," 93 ","11.3"
"2014","Not remanded","All"," Young adults"," Mixed"," 520 "," 58 ","11.2"
"2014","Not remanded","All"," Young adults"," Chinese or other"," 139 "," 12 ","8.6"
"2014","Not remanded","All"," Young adults"," Not stated"," 961 "," 165 ","17.2"
"2014","Not remanded","All"," Adults"," White"," 59,907 "," 9,304 ","15.5"
"2014","Not remanded","All"," Adults"," Black"," 7,633 "," 751 ","9.8"
"2014","Not remanded","All"," Adults"," Asian"," 5,652 "," 509 ","9.0"
"2014","Not remanded","All"," Adults"," Mixed"," 2,157 "," 307 ","14.2"
"2014","Not remanded","All"," Adults"," Chinese or other"," 1,368 "," 158 ","11.5"
"2014","Not remanded","All"," Adults"," Not stated"," 10,800 "," 1,786 ","16.5"
"2015","Not remanded","All"," Juveniles"," White"," 908 "," 78 ","8.6"
"2015","Not remanded","All"," Juveniles"," Black"," 249 "," 19 ","7.6"
"2015","Not remanded","All"," Juveniles"," Asian"," 126 "," 9 ","7.1"
"2015","Not remanded","All"," Juveniles"," Mixed"," 110 "," 10 ","9.1"
"2015","Not remanded","All"," Juveniles"," Chinese or other"," 39 "," 3 ","7.7"
"2015","Not remanded","All"," Juveniles"," Not stated"," 216 "," 35 ","16.2"
"2015","Not remanded","All"," Young adults"," White"," 6,609 "," 1,011 ","15.3"
