"Title","Renting from a private landlord by ethnicity and income"
"Location","England"
"Time period","2014/15 and 2015/16 (combined)"
"Data source","English Housing Survey"
"Data source link","https://www.gov.uk/government/collections/english-housing-survey"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","7th March 2017"

"","Weekly income","%","Private renters","All households"
"White British","Up to £99","33"," 59,711 "," 183,039 "
"White British","£100 to £199","18"," 294,709 "," 1,623,813 "
"White British","£200 to £299","18"," 413,386 "," 2,290,104 "
"White British","£300 to £399","19"," 395,618 "," 2,121,559 "
"White British","£400 to £499","19"," 339,283 "," 1,793,046 "
"White British","£500 to £599","19"," 315,439 "," 1,641,076 "
"White British","£600 to £699","16"," 251,076 "," 1,521,753 "
"White British","£700 to £799","16"," 193,288 "," 1,234,900 "
"White British","£800 to £899","13"," 147,330 "," 1,099,098 "
"White British","£900 to £999","13"," 111,590 "," 875,735 "
"White British","£1000 and above","11"," 474,060 "," 4,424,028 "
"All other ethnic groups","Up to £99","36"," 23,448 "," 64,744 "
"All other ethnic groups","£100 to £199","39"," 123,561 "," 319,019 "
"All other ethnic groups","£200 to £299","28"," 108,725 "," 382,066 "
"All other ethnic groups","£300 to £399","44"," 216,102 "," 490,875 "
"All other ethnic groups","£400 to £499","38"," 150,078 "," 399,204 "
"All other ethnic groups","£500 to £599","46"," 156,464 "," 343,358 "
"All other ethnic groups","£600 to £699","39"," 122,579 "," 312,920 "
"All other ethnic groups","£700 to £799","42"," 110,892 "," 266,681 "
"All other ethnic groups","£800 to £899","37"," 77,255 "," 209,729 "
"All other ethnic groups","£900 to £999","35"," 65,557 "," 188,360 "
"All other ethnic groups","£1000 and above","30"," 248,789 "," 831,408 "
