"Ethnicity","Region","%","Private renters ('000s)","All households ('000s)"
"White British","North East","16","169","1,086"
"White British","North West","17","460","2,748"
"White British","Yorkshire and the Humber","18","366","1,986"
"White British","East Midlands","14","246","1,695"
"White British","West Midlands","15","295","1,968"
"White British","East","15","326","2,197"
"White British","London","19","324","1,706"
"White British","South East","14","466","3,215"
"White British","South West","16","359","2,215"
"Other than White British","North East","29","18","61"
"Other than White British","North West","33","115","352"
"Other than White British","Yorkshire and the Humber","36","103","283"
"Other than White British","East Midlands","39","100","257"
"Other than White British","West Midlands","31","122","394"
"Other than White British","East","40","132","331"
"Other than White British","London","40","671","1,713"
"Other than White British","South East","47","241","516"
"Other than White British","South West","49","91","187"
