"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Geography","Age_group","NS-SEC","Income_band","Region","Value","Numerator","Denominator","Sample_size"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","White British","ONS 2011 18+1","England","All","All","All","All","16","3011","18816","21997"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","White Irish","ONS 2011 18+1","England","All","All","All","All","20.3","37","183","216"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","White Gypsy or Irish Traveller","ONS 2011 18+1","England","All","All","All","All","?","?","?","12"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","White Other","ONS 2011 18+1","England","All","All","All","All","59","717","1217","1275"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","Mixed White and Black Caribbean","ONS 2011 18+1","England","All","All","All","All","33.8","31","93","98"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","Mixed White and Black African","ONS 2011 18+1","England","All","All","All","All","30.5","27","90","100"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","Mixed White and Asian","ONS 2011 18+1","England","All","All","All","All","16.5","9","57","64"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","Mixed Other","ONS 2011 18+1","England","All","All","All","All","22.4","11","48","50"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","Indian","ONS 2011 18+1","England","All","All","All","All","22.8","120","524","519"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","Pakistani","ONS 2011 18+1","England","All","All","All","All","32.2","116","361","376"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","Bangladeshi","ONS 2011 18+1","England","All","All","All","All","21.2","29","135","156"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","Chinese","ONS 2011 18+1","England","All","All","All","All","52.7","58","110","117"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","Asian Other","ONS 2011 18+1","England","All","All","All","All","46.5","95","204","199"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","Black African","ONS 2011 18+1","England","All","All","All","All","32.5","132","406","515"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","Black Caribbean","ONS 2011 18+1","England","All","All","All","All","18","54","298","332"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","Black Other","ONS 2011 18+1","England","All","All","All","All","24","7","29","36"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","Arab","ONS 2011 18+1","England","All","All","All","All","39.3","29","74","83"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","Other","ONS 2011 18+1","England","All","All","All","All","46","119","258","271"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","White British","White British and Other","England","All","Higher managerial, administrative and professional occupations","All","All","14.3","1112","7758","8368"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","White British","White British and Other","England","All","Intermediate occupations","All","All","16.2","623","3850","4411"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","White British","White British and Other","England","All","Routine and manual occupations","All","All","17.7","1082","6111","7903"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","White British","White British and Other","England","All","All","All","All","15.9","2817","17719","20682"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","Other than White British","White British and Other","England","All","Higher managerial, administrative and professional occupations","All","All","38.2","586","1531","1511"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","Other than White British","White British and Other","England","All","Intermediate occupations","All","All","38.3","297","775","812"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","Other than White British","White British and Other","England","All","Routine and manual occupations","All","All","41","567","1383","1625"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","Other than White British","White British and Other","England","All","All","All","All","39.3","1449","3689","3948"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","All","White British and Other","England","All","Higher managerial, administrative and professional occupations","All","All","18.3","1697","9289","9879"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","All","White British and Other","England","All","Intermediate occupations","All","All","19.9","920","4625","5223"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","All","White British and Other","England","All","Routine and manual occupations","All","All","22","1649","7494","9528"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","All","White British and Other","England","All","All","All","All","19.9","4266","21408","24630"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","White British","White British and Other","England"," 16 - 24","All","All","All","62","344","555","666"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","White British","White British and Other","England"," 25 - 34","All","All","All","38.2","901","2359","2644"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","White British","White British and Other","England"," 35 - 44","All","All","All","22.5","626","2786","3293"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","White British","White British and Other","England"," 45 - 54","All","All","All","12.5","467","3724","4205"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","White British","White British and Other","England"," 55 - 64","All","All","All","9.3","315","3380","4092"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","White British","White British and Other","England"," 65 or over","All","All","All","6","358","6012","7097"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","White British","White British and Other","England"," All","All","All","All","16","3011","18816","21997"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","Other than White British","White British and Other","England"," 16 - 24","All","All","All","74.7","147","197","185"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","Other than White British","White British and Other","England"," 25 - 34","All","All","All","64.3","628","976","996"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","Other than White British","White British and Other","England"," 35 - 44","All","All","All","39.2","461","1174","1309"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","Other than White British","White British and Other","England"," 45 - 54","All","All","All","28","232","829","895"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","Other than White British","White British and Other","England"," 55 - 64","All","All","All","20.4","91","444","494"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","Other than White British","White British and Other","England"," 65 or over","All","All","All","7.2","34","472","540"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","Other than White British","White British and Other","England"," All","All","All","All","38.9","1593","4093","4419"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","All","White British and Other","England"," 16 - 24","All","All","All","65.3","491","752","851"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","All","White British and Other","England"," 25 - 34","All","All","All","45.8","1529","3336","3640"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","All","White British and Other","England"," 35 - 44","All","All","All","27.4","1087","3960","4602"
"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Geography","Age_group","NS-SEC","Income_band","Region","Value","Numerator","Denominator","Sample_size"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","White British","ONS 2011 18+1","England","All","All","All","All","16","3011","18816","21997"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","White Irish","ONS 2011 18+1","England","All","All","All","All","20.3","37","183","216"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","White Gypsy or Irish Traveller","ONS 2011 18+1","England","All","All","All","All","?","?","?","12"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","White Other","ONS 2011 18+1","England","All","All","All","All","59","717","1217","1275"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","Mixed White and Black Caribbean","ONS 2011 18+1","England","All","All","All","All","33.8","31","93","98"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","Mixed White and Black African","ONS 2011 18+1","England","All","All","All","All","30.5","27","90","100"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","Mixed White and Asian","ONS 2011 18+1","England","All","All","All","All","16.5","9","57","64"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","Mixed Other","ONS 2011 18+1","England","All","All","All","All","22.4","11","48","50"
"Percentage of households privately renting their home","2015-16 and 2016-17","Two years","Indian","ONS 2011 18+1","England","All","All","All","All","22.8","120","524","519"
