"Title","Students going into education or employment by ethnicity"
"Location","England"
"Time period","2014/15"
"Data source","Statistics: destinations of key stage 4 and key stage 5 pupils"
"Data source link","https://www.gov.uk/government/collections/statistics-destinations"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","-"

"Destination","Standard Ethnicity","%"
"Education or employment","All","88"
"Education or employment","Asian","88"
"Education or employment","Bangladeshi","88"
"Education or employment","Indian","90"
"Education or employment","Pakistani","85"
"Education or employment","Asian other","89"
"Education or employment","Black","89"
"Education or employment","Black African","90"
"Education or employment","Black Caribbean","86"
"Education or employment","Black other","86"
"Education or employment","Chinese","91"
"Education or employment","Mixed","86"
"Education or employment","Mixed White/Asian","87"
"Education or employment","Mixed White/Black African","85"
"Education or employment","Mixed White/Black Caribbean","86"
"Education or employment","Mixed other","86"
"Education or employment","White","88"
"Education or employment","White British","89"
"Education or employment","White Irish","88"
"Education or employment","White Irish Traveller","95"
"Education or employment","White Gypsy/Roma","72"
"Education or employment","White other","85"
"Education or employment","Other","87"
"Education or employment","Unknown","80"
"Education","All","65"
"Education","Asian","79"
"Education","Bangladeshi","79"
"Education","Indian","81"
"Education","Pakistani","76"
"Education","Asian other","79"
"Education","Black","78"
"Education","Black African","83"
"Education","Black Caribbean","70"
"Education","Black other","75"
"Education","Chinese","85"
"Education","Mixed","68"
"Education","Mixed White/Asian","71"
"Education","Mixed White/Black African","69"
"Education","Mixed White/Black Caribbean","64"
"Education","Mixed other","70"
"Education","White","63"
"Education","White British","62"
"Education","White Irish","67"
"Education","White Irish Traveller","79"
"Education","White Gypsy/Roma","49"
"Education","White other","68"
"Education","Other","77"
"Education","Unknown","61"
"Employment","All","23"
"Employment","Asian","9"
"Employment","Bangladeshi","9"
"Employment","Indian","9"
"Employment","Pakistani","9"
"Employment","Asian other","10"
"Employment","Black","10"
"Employment","Black African","7"
"Employment","Black Caribbean","16"
"Employment","Black other","12"
"Employment","Chinese","6"
"Employment","Mixed","18"
"Employment","Mixed White/Asian","17"
"Employment","Mixed White/Black African","17"
"Employment","Mixed White/Black Caribbean","23"
"Employment","Mixed other","16"
"Employment","White","26"
"Employment","White British","26"
"Employment","White Irish","21"
"Employment","White Irish Traveller","16"
"Employment","White Gypsy/Roma","23"
"Employment","White other","17"
"Employment","Other","10"
"Employment","Unknown","19"
"No sustained education/employment","All","9"
"No sustained education/employment","Asian","8"
"No sustained education/employment","Bangladeshi","9"
"No sustained education/employment","Indian","6"
"No sustained education/employment","Pakistani","10"
"No sustained education/employment","Asian other","7"
"No sustained education/employment","Black","8"
"No sustained education/employment","Black African","7"
"No sustained education/employment","Black Caribbean","11"
"No sustained education/employment","Black other","10"
"No sustained education/employment","Chinese","3"
"No sustained education/employment","Mixed","10"
"No sustained education/employment","Mixed White/Asian","9"
"No sustained education/employment","Mixed White/Black African","10"
"No sustained education/employment","Mixed White/Black Caribbean","11"
"No sustained education/employment","Mixed other","9"
"No sustained education/employment","White","9"
"No sustained education/employment","White British","9"
"No sustained education/employment","White Irish","9"
"No sustained education/employment","White Irish Traveller","!"
"No sustained education/employment","White Gypsy/Roma","17"
"No sustained education/employment","White other","9"
"No sustained education/employment","Other","8"
"No sustained education/employment","Unknown","9"
"Unknown","All","3"
"Unknown","Asian","4"
"Unknown","Bangladeshi","3"
"Unknown","Indian","4"
"Unknown","Pakistani","5"
"Unknown","Asian other","4"
"Unknown","Black","3"
"Unknown","Black African","3"
"Unknown","Black Caribbean","3"
"Unknown","Black other","4"
"Unknown","Chinese","6"
"Unknown","Mixed","4"
"Unknown","Mixed White/Asian","3"
"Unknown","Mixed White/Black African","4"
"Unknown","Mixed White/Black Caribbean","3"
"Unknown","Mixed other","5"
"Unknown","White","3"
"Unknown","White British","2"
"Unknown","White Irish","3"
"Unknown","White Irish Traveller","0"
"Unknown","White Gypsy/Roma","11"
"Unknown","White other","6"
"Unknown","Other","5"
"Unknown","Unknown","12"
