Measure,Time,Time_type,Ethnicity,Ethnicity_type,Source of Referral,Value,Numerator
Percentage of new lettings by source of referral,2015/16,Financial year,"White: English, Scottish, Welsh, Northern Irish, British",ONS 18+1,Internal transfer,13.7,38262
Percentage of new lettings by source of referral,2015/16,Financial year,White: Irish,ONS 18+1,Internal transfer,17.6,359
Percentage of new lettings by source of referral,2015/16,Financial year,White: Other,ONS 18+1,Internal transfer,8.5,1272
Percentage of new lettings by source of referral,2015/16,Financial year,Mixed: White & Black Caribbean,ONS 18+1,Internal transfer,11.3,574
Percentage of new lettings by source of referral,2015/16,Financial year,Mixed: White & Black African,ONS 18+1,Internal transfer,12,210
Percentage of new lettings by source of referral,2015/16,Financial year,Mixed: White & Asian,ONS 18+1,Internal transfer,10.5,134
Percentage of new lettings by source of referral,2015/16,Financial year,Mixed: Other,ONS 18+1,Internal transfer,8.8,221
Percentage of new lettings by source of referral,2015/16,Financial year,Asian/Asian British: Indian,ONS 18+1,Internal transfer,9.9,267
Percentage of new lettings by source of referral,2015/16,Financial year,Asian/Asian British: Pakistani,ONS 18+1,Internal transfer,8.4,422
Percentage of new lettings by source of referral,2015/16,Financial year,Asian/Asian British: Bangladeshi,ONS 18+1,Internal transfer,13.4,445
Percentage of new lettings by source of referral,2015/16,Financial year,Asian/Asian British: Other,ONS 18+1,Internal transfer,10.9,461
Percentage of new lettings by source of referral,2015/16,Financial year,"Black, African, Caribbean or Black British: Caribbean",ONS 18+1,Internal transfer,14.6,1308
Percentage of new lettings by source of referral,2015/16,Financial year,"Black, African, Caribbean or Black British: African",ONS 18+1,Internal transfer,12.1,1632
Percentage of new lettings by source of referral,2015/16,Financial year,"Black, African, Caribbean or Black British: Other",ONS 18+1,Internal transfer,18.2,606
Percentage of new lettings by source of referral,2015/16,Financial year,Other Ethnic group: Chinese,ONS 18+1,Internal transfer,14.5,91
Percentage of new lettings by source of referral,2015/16,Financial year,Other Ethnic group: Other,ONS 18+1,Internal transfer,10.8,475
Percentage of new lettings by source of referral,2015/16,Financial year,"White: Gypsy, Irish Traveller",ONS 18+1,Internal transfer,7.6,27
Percentage of new lettings by source of referral,2015/16,Financial year,Other Ethnic group: Arab,ONS 18+1,Internal transfer,10.5,182
Percentage of new lettings by source of referral,2015/16,Financial year,"White: English, Scottish, Welsh, Northern Irish, British",ONS 18+1,Tenant applied direct,44.5,124503
Percentage of new lettings by source of referral,2015/16,Financial year,White: Irish,ONS 18+1,Tenant applied direct,36.1,737
Percentage of new lettings by source of referral,2015/16,Financial year,White: Other,ONS 18+1,Tenant applied direct,50.1,7485
Percentage of new lettings by source of referral,2015/16,Financial year,Mixed: White & Black Caribbean,ONS 18+1,Tenant applied direct,34.1,1739
Percentage of new lettings by source of referral,2015/16,Financial year,Mixed: White & Black African,ONS 18+1,Tenant applied direct,39.8,697
Percentage of new lettings by source of referral,2015/16,Financial year,Mixed: White & Asian,ONS 18+1,Tenant applied direct,37.8,481
