"Title","Routes into social housing by ethnicity"
"Location","England"
"Time period","2015/16"
"Data source","Social housing lettings statistics https://www.gov.uk/government/collections/rents-lettings-and-tenancies"
"Source","https://www.ethnicityfactsandfigures.digitalbeta.org.uk"

"Ethnicity","Ethnicity_type","Source of Referall","Value"
"White: English, Scottish, Welsh, Northern Irish, British","ONS 18+1","Internal transfer","14"
"White: Irish","ONS 18+1","Internal transfer","18"
"White: Other","ONS 18+1","Internal transfer","9"
"Mixed: White & Black Caribbean","ONS 18+1","Internal transfer","11"
"Mixed: White & Black African","ONS 18+1","Internal transfer","12"
"Mixed: White & Asian","ONS 18+1","Internal transfer","11"
"Mixed: Other","ONS 18+1","Internal transfer","9"
"Asian/Asian British: Indian","ONS 18+1","Internal transfer","10"
"Asian/Asian British: Pakistani","ONS 18+1","Internal transfer","8"
"Asian/Asian British: Bangladeshi","ONS 18+1","Internal transfer","13"
"Asian/Asian British: Other","ONS 18+1","Internal transfer","11"
"Black, African, Caribbean or Black British: Caribbean","ONS 18+1","Internal transfer","15"
"Black, African, Caribbean or Black British: African","ONS 18+1","Internal transfer","12"
"Black, African, Caribbean or Black British: Other","ONS 18+1","Internal transfer","18"
"Asian/Asian British: Chinese","ONS 18+1","Internal transfer","15"
"Other Ethnic group: Other","ONS 18+1","Internal transfer","11"
"White: Gypsy, Irish Traveller","ONS 18+1","Internal transfer","8"
"Other Ethnic group: Arab","ONS 18+1","Internal transfer","11"
"White: English, Scottish, Welsh, Northern Irish, British","ONS 18+1","Tenant applied direct","45"
"White: Irish","ONS 18+1","Tenant applied direct","36"
"White: Other","ONS 18+1","Tenant applied direct","50"
"Mixed: White & Black Caribbean","ONS 18+1","Tenant applied direct","34"
"Mixed: White & Black African","ONS 18+1","Tenant applied direct","40"
"Mixed: White & Asian","ONS 18+1","Tenant applied direct","38"
"Mixed: Other","ONS 18+1","Tenant applied direct","37"
"Asian/Asian British: Indian","ONS 18+1","Tenant applied direct","41"
"Asian/Asian British: Pakistani","ONS 18+1","Tenant applied direct","42"
"Asian/Asian British: Bangladeshi","ONS 18+1","Tenant applied direct","35"
"Asian/Asian British: Other","ONS 18+1","Tenant applied direct","42"
"Black, African, Caribbean or Black British: Caribbean","ONS 18+1","Tenant applied direct","32"
"Black, African, Caribbean or Black British: African","ONS 18+1","Tenant applied direct","40"
