"Title","Social workers for children and families"
"Location","England"
"Time period","2016/17"
"Data source","Department for Education"
"Data source link","https://www.gov.uk/government/statistics/childrens-social-work-workforce-2017"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","2018-06-28"
"Measure","Ethnicity","Ethnicity_type","Value","Value_type","Count","Value Note"
"Percentage of children and family social workers","All","ONS 2001 16+1","100","%","30670",""
"Percentage of children and family social workers","Asian","ONS 2001 16+1","5.2","%","1300","Percentage calculated excluding the unknowns from the denominator (total workforce excluding unknowns: 25,200 social workers) "
"Percentage of children and family social workers","Indian","ONS 2001 16+1","2.6","%","660","Percentage calculated excluding the unknowns from the denominator (total workforce excluding unknowns: 25,200 social workers) "
"Percentage of children and family social workers","Pakistani","ONS 2001 16+1","1.3","%","330","Percentage calculated excluding the unknowns from the denominator (total workforce excluding unknowns: 25,200 social workers) "
"Percentage of children and family social workers","Any Other Asian Background","ONS 2001 16+1","0.7","%","170","Percentage calculated excluding the unknowns from the denominator (total workforce excluding unknowns: 25,200 social workers) "
"Percentage of children and family social workers","Bangladeshi","ONS 2001 16+1","0.6","%","140","Percentage calculated excluding the unknowns from the denominator (total workforce excluding unknowns: 25,200 social workers) "
"Percentage of children and family social workers","Black","ONS 2001 16+1","10.6","%","2670","Percentage calculated excluding the unknowns from the denominator (total workforce excluding unknowns: 25,200 social workers) "
"Percentage of children and family social workers","Black Caribbean","ONS 2001 16+1","4.5","%","1130","Percentage calculated excluding the unknowns from the denominator (total workforce excluding unknowns: 25,200 social workers) "
"Percentage of children and family social workers","Black African","ONS 2001 16+1","4.4","%","1100","Percentage calculated excluding the unknowns from the denominator (total workforce excluding unknowns: 25,200 social workers) "
"Percentage of children and family social workers","Any Other Black Background","ONS 2001 16+1","1.7","%","440","Percentage calculated excluding the unknowns from the denominator (total workforce excluding unknowns: 25,200 social workers) "
"Percentage of children and family social workers","Mixed","ONS 2001 16+1","3.1","%","780","Percentage calculated excluding the unknowns from the denominator (total workforce excluding unknowns: 25,200 social workers) "
"Percentage of children and family social workers","White and Black Caribbean","ONS 2001 16+1","1.2","%","290","Percentage calculated excluding the unknowns from the denominator (total workforce excluding unknowns: 25,200 social workers) "
"Percentage of children and family social workers","Any Other Mixed Background","ONS 2001 16+1","0.9","%","220","Percentage calculated excluding the unknowns from the denominator (total workforce excluding unknowns: 25,200 social workers) "
"Percentage of children and family social workers","White and Black African","ONS 2001 16+1","0.6","%","140","Percentage calculated excluding the unknowns from the denominator (total workforce excluding unknowns: 25,200 social workers) "
"Percentage of children and family social workers","White and Asian","ONS 2001 16+1","0.5","%","130","Percentage calculated excluding the unknowns from the denominator (total workforce excluding unknowns: 25,200 social workers) "
"Percentage of children and family social workers","Chinese or other","ONS 2001 16+1","1.1","%","280","Percentage calculated excluding the unknowns from the denominator (total workforce excluding unknowns: 25,200 social workers) "
"Percentage of children and family social workers","Any Other Ethnic Group","ONS 2001 16+1","1","%","250","Percentage calculated excluding the unknowns from the denominator (total workforce excluding unknowns: 25,200 social workers) "
"Percentage of children and family social workers","Chinese","ONS 2001 16+1","0.1","%","30","Percentage calculated excluding the unknowns from the denominator (total workforce excluding unknowns: 25,200 social workers) "
"Percentage of children and family social workers","White","ONS 2001 16+1","80","%","20160","Percentage calculated excluding the unknowns from the denominator (total workforce excluding unknowns: 25,200 social workers) "
"Percentage of children and family social workers","White British","ONS 2001 16+1","73.1","%","18420","Percentage calculated excluding the unknowns from the denominator (total workforce excluding unknowns: 25,200 social workers) "
"Percentage of children and family social workers","Any Other White Background","ONS 2001 16+1","5.3","%","1350","Percentage calculated excluding the unknowns from the denominator (total workforce excluding unknowns: 25,200 social workers) "
"Percentage of children and family social workers","White Irish","ONS 2001 16+1","1.6","%","390","Percentage calculated excluding the unknowns from the denominator (total workforce excluding unknowns: 25,200 social workers) "
"Percentage of children and family social workers","Unknown","ONS 2001 16+1","17.8","%","5470","Percentage of unknowns calculated as a percentage of the total workforce"
