"Year","Ethnicity","%","Prosecutions at MC ","Convictions at MC and CC"
"2009","Asian Adults","72.8","14,181","10,322"
"2009","AsianJuveniles","70.4","2,315","1,629"
"2009","Asian Young adults","67.6","2,675","1,808"
"2009","Black Adults","73.8","22,277","16,444"
"2009","BlackJuveniles","71.1","5,399","3,839"
"2009","Black Young adults","69.0","4,777","3,298"
"2009","Mixed Adults","71.8","6,522","4,686"
"2009","MixedJuveniles","71.9","2,767","1,990"
"2009","Mixed Young adults","67.8","2,303","1,561"
"2009","Other inc Chinese Adults","74.7","4,136","3,090"
"2009","Other inc ChineseJuveniles","69.6","447","311"
"2009","Other inc Chinese Young adults","72.2","551","398"
"2009","White Adults","79.2","210,862","167,086"
"2009","WhiteJuveniles","78.7","40,529","31,905"
"2009","White Young adults","76.1","42,689","32,494"
"2010","Asian Adults","77.1","15,412","11,882"
"2010","AsianJuveniles","71.4","2,392","1,709"
"2010","Asian Young adults","77.1","2,753","2,123"
"2010","Black Adults","78.3","23,396","18,318"
"2010","BlackJuveniles","68.9","6,126","4,220"
"2010","Black Young adults","74.3","5,203","3,865"
"2010","Mixed Adults","77.6","7,434","5,768"
"2010","MixedJuveniles","71.7","2,817","2,019"
"2010","Mixed Young adults","72.4","2,566","1,858"
"2010","Other inc Chinese Adults","83.3","4,232","3,527"
"2010","Other inc ChineseJuveniles","72.5","418","303"
"2010","Other inc Chinese Young adults","78.3","585","458"
"2010","White Adults","82.2","235,124","193,323"
"2010","WhiteJuveniles","77.4","38,868","30,082"
"2010","White Young adults","79.7","44,006","35,066"
"2011","Asian Adults","79.2","14,942","11,841"
"2011","AsianJuveniles","73.1","2,302","1,683"
"2011","Asian Young adults","76.2","2,920","2,226"
"2011","Black Adults","81.1","22,752","18,453"
"2011","BlackJuveniles","71.0","6,082","4,319"
"2011","Black Young adults","76.1","4,992","3,799"
"2011","Mixed Adults","79.0","7,587","5,994"
"2011","MixedJuveniles","73.9","2,766","2,043"
"2011","Mixed Young adults","76.5","2,228","1,705"
"2011","Other inc Chinese Adults","82.2","3,915","3,217"
"2011","Other inc ChineseJuveniles","71.5","452","323"
"2011","Other inc Chinese Young adults","81.1","529","429"
"2011","White Adults","83.9","233,537","195,844"
"2011","WhiteJuveniles","77.7","32,600","25,332"
"2011","White Young adults","81.1","39,535","32,044"
"2012","Asian Adults","78.8","13,547","10,670"
