"","2009","","","2010","","","2011","","","2012","","","2013","","","2014","","","2015","","","2016","","","2017","",""
"Ethnicity","%","Prosecutions at MC","Convictions at MC and CC","%","Prosecutions at MC","Convictions at MC and CC","%","Prosecutions at MC","Convictions at MC and CC","%","Prosecutions at MC","Convictions at MC and CC","%","Prosecutions at MC","Convictions at MC and CC","%","Prosecutions at MC","Convictions at MC and CC","%","Prosecutions at MC","Convictions at MC and CC","%","Prosecutions at MC","Convictions at MC and CC","%","Prosecutions at MC","Convictions at MC and CC"
"Asian Female","71.6","1,174","840","72.6","1,301","945","71.5","1,268","906","74.7","1,016","759","68.3","1,065","727","70.6","943","666","70.5","932","657","72.9","870","634","73.8","686","506"
"Asian Male","71.8","17,964","12,905","76.8","19,221","14,755","78.6","18,861","14,825","78.6","16,672","13,112","73.9","16,838","12,451","74.7","15,718","11,740","78.3","14,389","11,273","81.3","13,750","11,173","81.0","12,442","10,073"
"Black Female","76.0","3,888","2,953","74.4","4,201","3,127","80.4","3,470","2,790","79.6","2,817","2,242","74.6","2,633","1,965","74.1","2,650","1,963","78.7","2,380","1,873","76.9","2,205","1,695","74.0","1,938","1,434"
"Black Male","72.3","28,463","20,577","76.3","30,438","23,236","78.4","30,294","23,745","79.1","26,263","20,768","76.4","26,003","19,855","77.1","24,313","18,748","79.8","22,502","17,961","81.1","22,667","18,372","79.2","21,308","16,875"
"Mixed Female","70.3","1,738","1,221","75.0","1,856","1,392","75.7","1,795","1,359","77.0","1,364","1,050","75.0","1,294","970","75.5","1,349","1,019","78.4","1,237","970","77.5","967","749","77.8","886","689"
"Mixed Male","71.2","9,832","7,001","75.3","10,942","8,242","77.8","10,771","8,376","78.6","9,450","7,431","75.8","9,231","7,001","76.0","8,240","6,264","77.4","7,930","6,136","81.9","6,613","5,413","79.3","5,912","4,689"
"Other inc Chinese Female","77.4","729","564","77.9","773","602","82.2","636","523","85.6","499","427","82.7","519","429","84.0","443","372","89.9","398","358","75.7","371","281","80.8","312","252"
"Other inc Chinese Male","73.5","4,387","3,225","82.7","4,453","3,682","81.0","4,247","3,438","82.6","3,675","3,034","82.0","3,620","2,969","79.3","3,175","2,518","83.9","2,978","2,499","82.2","2,691","2,211","81.3","2,429","1,974"
"White Female","79.6","43,722","34,801","80.5","46,948","37,805","82.0","44,076","36,133","83.6","38,350","32,064","80.6","37,685","30,367","81.1","37,325","30,288","83.9","32,796","27,517","85.0","28,083","23,879","84.6","24,959","21,113"
"White Male","78.6","249,942","196,446","81.4","270,756","220,505","83.0","261,272","216,877","84.1","229,514","193,103","81.7","222,618","181,883","81.7","209,231","170,946","84.5","183,811","155,231","86.2","156,719","135,170","85.5","139,509","119,232"
