"Title","Conviction ratio by ethnicity and sex of defendant"
"Location","England and Wales"
"Time period","2009 to 2017"
"Data source","Criminal justice statistics"
"Data source link","https://www.gov.uk/government/collections/criminal-justice-statistics"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","May"

"Year","Ethnicity","%","Prosecutions at MC","Convictions at MC and CC"
"2009","Asian Female","71.6","1,174","840"
"2009","Asian Male","71.8","17,964","12,905"
"2009","Black Female","76.0","3,888","2,953"
"2009","Black Male","72.3","28,463","20,577"
"2009","Mixed Female","70.3","1,738","1,221"
"2009","Mixed Male","71.2","9,832","7,001"
"2009","Other inc Chinese Female","77.4","729","564"
"2009","Other inc Chinese Male","73.5","4,387","3,225"
"2009","White Female","79.6","43,722","34,801"
"2009","White Male","78.6","249,942","196,446"
"2010","Asian Female","72.6","1,301","945"
"2010","Asian Male","76.8","19,221","14,755"
"2010","Black Female","74.4","4,201","3,127"
"2010","Black Male","76.3","30,438","23,236"
"2010","Mixed Female","75.0","1,856","1,392"
"2010","Mixed Male","75.3","10,942","8,242"
"2010","Other inc Chinese Female","77.9","773","602"
"2010","Other inc Chinese Male","82.7","4,453","3,682"
"2010","White Female","80.5","46,948","37,805"
"2010","White Male","81.4","270,756","220,505"
"2011","Asian Female","71.5","1,268","906"
"2011","Asian Male","78.6","18,861","14,825"
"2011","Black Female","80.4","3,470","2,790"
"2011","Black Male","78.4","30,294","23,745"
"2011","Mixed Female","75.7","1,795","1,359"
"2011","Mixed Male","77.8","10,771","8,376"
"2011","Other inc Chinese Female","82.2","636","523"
"2011","Other inc Chinese Male","81.0","4,247","3,438"
"2011","White Female","82.0","44,076","36,133"
"2011","White Male","83.0","261,272","216,877"
"2012","Asian Female","74.7","1,016","759"
"2012","Asian Male","78.6","16,672","13,112"
"2012","Black Female","79.6","2,817","2,242"
"2012","Black Male","79.1","26,263","20,768"
"2012","Mixed Female","77.0","1,364","1,050"
"2012","Mixed Male","78.6","9,450","7,431"
"2012","Other inc Chinese Female","85.6","499","427"
"2012","Other inc Chinese Male","82.6","3,675","3,034"
"2012","White Female","83.6","38,350","32,064"
"2012","White Male","84.1","229,514","193,103"
"2013","Asian Female","68.3","1,065","727"
"2013","Asian Male","73.9","16,838","12,451"
"2013","Black Female","74.6","2,633","1,965"
"2013","Black Male","76.4","26,003","19,855"
"2013","Mixed Female","75.0","1,294","970"
"2013","Mixed Male","75.8","9,231","7,001"
"2013","Other inc Chinese Female","82.7","519","429"
"2013","Other inc Chinese Male","82.0","3,620","2,969"
"2013","White Female","80.6","37,685","30,367"
"2013","White Male","81.7","222,618","181,883"
"2014","Asian Female","70.6","943","666"
"2014","Asian Male","74.7","15,718","11,740"
"2014","Black Female","74.1","2,650","1,963"
"2014","Black Male","77.1","24,313","18,748"
"2014","Mixed Female","75.5","1,349","1,019"
"2014","Mixed Male","76.0","8,240","6,264"
"2014","Other inc Chinese Female","84.0","443","372"
"2014","Other inc Chinese Male","79.3","3,175","2,518"
"2014","White Female","81.1","37,325","30,288"
"2014","White Male","81.7","209,231","170,946"
"2015","Asian Female","70.5","932","657"
"2015","Asian Male","78.3","14,389","11,273"
"2015","Black Female","78.7","2,380","1,873"
"2015","Black Male","79.8","22,502","17,961"
"2015","Mixed Female","78.4","1,237","970"
"2015","Mixed Male","77.4","7,930","6,136"
"2015","Other inc Chinese Female","89.9","398","358"
"2015","Other inc Chinese Male","83.9","2,978","2,499"
"2015","White Female","83.9","32,796","27,517"
"2015","White Male","84.5","183,811","155,231"
"2016","Asian Female","72.9","870","634"
"2016","Asian Male","81.3","13,750","11,173"
"2016","Black Female","76.9","2,205","1,695"
"2016","Black Male","81.1","22,667","18,372"
"2016","Mixed Female","77.5","967","749"
"2016","Mixed Male","81.9","6,613","5,413"
"2016","Other inc Chinese Female","75.7","371","281"
"2016","Other inc Chinese Male","82.2","2,691","2,211"
"2016","White Female","85.0","28,083","23,879"
"2016","White Male","86.2","156,719","135,170"
"2017","Asian Female","73.8","686","506"
"2017","Asian Male","81.0","12,442","10,073"
"2017","Black Female","74.0","1,938","1,434"
"2017","Black Male","79.2","21,308","16,875"
"2017","Mixed Female","77.8","886","689"
"2017","Mixed Male","79.3","5,912","4,689"
"2017","Other inc Chinese Female","80.8","312","252"
"2017","Other inc Chinese Male","81.3","2,429","1,974"
"2017","White Female","84.6","24,959","21,113"
"2017","White Male","85.5","139,509","119,232"
