"Title","Conviction ratio by ethnicity of defendant and offence"
"Location","England and Wales"
"Time period","2009 to 2017"
"Data source","Criminal justice statistics"
"Data source link","https://www.gov.uk/government/collections/criminal-justice-statistics"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","May"

"Ethnicity","Offence Group","%","Convictions"
"Asian","Criminal damage and arson","49.6","63"
"Asian","Drug offences","90.1","2,988"
"Asian","Fraud Offences","86.2","393"
"Asian","Miscellaneous crimes against society","81.2","1,475"
"Asian","Possession of weapons","83.7","748"
"Asian","Public order offences","94.7","757"
"Asian","Robbery","65.0","230"
"Asian","Sexual offences","52.2","436"
"Asian","Theft Offences","87.2","2,156"
"Asian","Violence against the person","63.9","1,389"
"Black","Criminal damage and arson","62.5","80"
"Black","Drug offences","87.7","6,245"
"Black","Fraud Offences","85.8","574"
"Black","Miscellaneous crimes against society","75.0","1,763"
"Black","Possession of weapons","80.5","2,022"
"Black","Public order offences","87.9","1,245"
"Black","Robbery","59.8","586"
"Black","Sexual offences","52.5","442"
"Black","Theft Offences","82.0","3,626"
"Black","Violence against the person","61.4","1,801"
"Mixed","Criminal damage and arson","62.7","32"
"Mixed","Drug offences","86.8","1,453"
"Mixed","Fraud Offences","92.4","110"
"Mixed","Miscellaneous crimes against society","73.5","533"
"Mixed","Possession of weapons","80.0","479"
"Mixed","Public order offences","92.4","318"
"Mixed","Robbery","57.3","185"
"Mixed","Sexual offences","54.9","95"
"Mixed","Theft Offences","84.9","1,513"
"Mixed","Violence against the person","65.3","680"
"White","Criminal damage and arson","76.1","1,407"
"White","Drug offences","93.0","19,828"
"White","Fraud Offences","90.8","3,505"
"White","Miscellaneous crimes against society","77.9","15,853"
"White","Possession of weapons","82.5","7,273"
"White","Public order offences","97.4","11,269"
"White","Robbery","72.4","2,228"
"White","Sexual offences","64.8","4,455"
"White","Theft Offences","89.3","55,577"
"White","Violence against the person","76.9","19,306"
"Other inc Chinese","Criminal damage and arson","68.2","15"
"Other inc Chinese","Drug offences","85.5","464"
"Other inc Chinese","Fraud Offences","86.7","98"
"Other inc Chinese","Miscellaneous crimes against society","87.7","327"
"Other inc Chinese","Possession of weapons","78.2","147"
"Other inc Chinese","Public order offences","87.3","124"
"Other inc Chinese","Robbery","72.9","43"
"Other inc Chinese","Sexual offences","60.9","112"
"Other inc Chinese","Theft Offences","86.8","659"
"Other inc Chinese","Violence against the person","65.5","241"
