"Ethnicity","Year","%","Prosecutions at MC","Convictions and MC and CC"
"Asian","2009","71.8","19,171","13,759"
"Asian","2010","76.4","20,557","15,714"
"Asian","2011","78.1","20,164","15,750"
"Asian","2012","78.3","17,745","13,895"
"Asian","2013","73.4","18,005","13,215"
"Asian","2014","74.3","16,736","12,437"
"Asian","2015","77.6","15,418","11,967"
"Asian","2016","80.5","14,712","11,842"
"Asian","2017","80.3","13,244","10,635"
"Black","2009","72.7","32,453","23,581"
"Black","2010","76.0","34,725","26,403"
"Black","2011","78.6","33,826","26,571"
"Black","2012","79.1","29,153","23,050"
"Black","2013","76.1","28,728","21,858"
"Black","2014","76.7","27,045","20,755"
"Black","2015","79.6","24,993","19,893"
"Black","2016","80.6","24,997","20,145"
"Black","2017","78.7","23,374","18,384"
"Mixed","2009","71.1","11,592","8,237"
"Mixed","2010","75.3","12,817","9,645"
"Mixed","2011","77.4","12,581","9,742"
"Mixed","2012","78.4","10,839","8,497"
"Mixed","2013","75.7","10,542","7,979"
"Mixed","2014","75.8","9,630","7,299"
"Mixed","2015","77.4","9,196","7,121"
"Mixed","2016","81.2","7,613","6,182"
"Mixed","2017","79.0","6,831","5,398"
"White","2009","78.7","294,080","231,485"
"White","2010","81.3","317,998","258,471"
"White","2011","82.8","305,672","253,220"
"White","2012","84.0","268,301","225,426"
"White","2013","81.5","260,857","212,567"
"White","2014","81.6","247,209","201,618"
"White","2015","84.3","217,166","183,068"
"White","2016","86.0","185,340","159,398"
"White","2017","85.3","165,037","140,701"
"Other inc Chinese","2009","74.0","5,134","3,799"
"Other inc Chinese","2010","81.9","5,235","4,288"
"Other inc Chinese","2011","81.1","4,896","3,969"
"Other inc Chinese","2012","82.8","4,193","3,470"
"Other inc Chinese","2013","82.0","4,156","3,407"
"Other inc Chinese","2014","79.8","3,627","2,895"
"Other inc Chinese","2015","84.4","3,395","2,867"
"Other inc Chinese","2016","81.3","3,076","2,501"
"Other inc Chinese","2017","81.1","2,751","2,230"
