"Title","Conviction ratio by ethnicity and age group of defendant"
"Location","England and Wales"
"Time period","2009 to 2016"
"Data source","Criminal justice statistics"
"Data source link","https://www.gov.uk/government/collections/criminal-justice-statistics"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated",""

"","2009","","","2010","","","2011","","","2012","","","2013","","","2014","","","2015","","","2016","",""
"Ethnicity and age group","%","Prosecutions","Convictions","%","Prosecutions","Convictions","%","Prosecutions","Convictions","%","Prosecutions","Convictions","%","Prosecutions","Convictions","%","Prosecutions","Convictions","%","Prosecutions","Convictions","%","Prosecutions","Convictions"
"Asian Adults","72","16,856","12,130","77","18,165","14,005","79","17,862","14,067","79","15,916","12,524","74","16,450","12,133","75","15,570","11,620","78","14,355","11,192","81","13,715","11,110"
"Asian Juveniles","70","2,315","1,629","71","2,392","1,709","73","2,302","1,683","75","1,829","1,371","70","1,555","1,082","70","1,166","817","73","1,071","780","73","1,001","735"
"Black Adults","73","27,054","19,742","78","28,599","22,183","80","27,744","22,253","80","24,586","19,747","77","25,035","19,267","78","24,016","18,656","81","22,163","17,904","82","22,106","18,145"
"Black Juveniles","71","5,399","3,839","69","6,126","4,220","71","6,082","4,319","72","4,567","3,304","70","3,693","2,591","69","3,029","2,099","70","2,842","1,999","69","2,894","2,003"
"Mixed Adults","71","8,825","6,247","76","10,000","7,626","78","9,815","7,699","80","8,757","6,998","77","8,899","6,859","77","8,204","6,321","79","7,885","6,226","83","6,623","5,476"
"Mixed Juveniles","72","2,767","1,990","72","2,817","2,019","74","2,766","2,043","72","2,082","1,499","68","1,643","1,120","69","1,426","978","68","1,311","895","71","992","708"
"White Adults","79","253,551","199,580","82","279,130","228,389","84","273,075","227,894","85","244,101","206,851","82","242,282","198,893","82","231,342","190,241","85","204,301","173,808","87","175,188","152,066"
"White Juveniles","79","40,529","31,905","77","38,868","30,082","78","32,600","25,333","77","24,200","18,575","74","18,575","13,674","72","15,867","11,378","72","12,997","9,375","72","10,215","7,383"
"Chinese and other Adults","74","4,687","3,488","83","4,817","3,985","82","4,444","3,646","83","3,811","3,180","83","3,869","3,204","81","3,389","2,741","85","3,165","2,687","82","2,859","2,346"
"Chinese and other Juveniles","70","447","311","73","418","303","72","452","323","76","382","290","71","287","203","65","238","154","78","234","183","71","218","155"
"Unknown Adults","92","46,969","43,271","77","41,589","32,129","74","41,468","30,581","74","41,650","30,718","74","44,024","32,370","75","46,985","35,434","79","48,921","38,510","81","52,502","42,731"
"Unknown Juveniles","82","5,260","4,317","79","4,011","3,182","76","4,248","3,211","77","3,983","3,054","76","3,183","2,411","73","2,905","2,129","73","3,084","2,253","74","3,412","2,521"
