"Title","Phonics attainment for children aged 5 to 7 by ethnicity and eligibility for free school meals (FSM)"
"Location","England"
"Time period","2015/16"
"Data source","Phonics screening check and key stage 1 assessments: England 2016"
"Data source link","https://www.gov.uk/government/statistics/phonics-screening-check-and-key-stage-1-assessments-england-2016"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","14/12/16"

"FSM","Ethnicity","%"
"FSM","All","69"
"FSM","Asian","78"
"FSM","Bangladeshi","78"
"FSM","Indian","81"
"FSM","Pakistani","76"
"FSM","Asian other","80"
"FSM","Black","78"
"FSM","Black African","80"
"FSM","Black Caribbean","74"
"FSM","Black other","74"
"FSM","Chinese","77"
"FSM","Mixed","73"
"FSM","Mixed White/Asian","72"
"FSM","Mixed White/Black African","77"
"FSM","Mixed White/Black Caribbean","70"
"FSM","Mixed other","73"
"FSM","White","66"
"FSM","White British","66"
"FSM","White Irish","60"
"FSM","White Irish Traveller","35"
"FSM","White Gypsy/Roma","37"
"FSM","White other","69"
"FSM","Other","76"
"Non-FSM","All","83"
"Non-FSM","Asian","85"
"Non-FSM","Bangladeshi","83"
"Non-FSM","Indian","89"
"Non-FSM","Pakistani","81"
"Non-FSM","Asian other","85"
"Non-FSM","Black","84"
"Non-FSM","Black African","85"
"Non-FSM","Black Caribbean","81"
"Non-FSM","Black other","81"
"Non-FSM","Chinese","89"
"Non-FSM","Mixed","85"
"Non-FSM","Mixed White/Asian","87"
"Non-FSM","Mixed White/Black African","83"
"Non-FSM","Mixed White/Black Caribbean","81"
"Non-FSM","Mixed other","85"
"Non-FSM","White","82"
"Non-FSM","White British","83"
"Non-FSM","White Irish","84"
"Non-FSM","White Irish Traveller","47"
"Non-FSM","White Gypsy/Roma","37"
"Non-FSM","White other","79"
"Non-FSM","Other","80"
