"Title","Phonics attainments for children aged 5 to 7 (key stage 1)"
"Location","England"
"Time period","2015/16"
"Data source","Department for Education"
"Data source link","https://www.gov.uk/government/statistics/phonics-screening-check-and-key-stage-1-assessments-england-2016"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","2018-03-04"
"Measure","Time","Time_type","Region","Local Authority","LA Code","Ethnicity","Ethnicity type","Gender","Gender_type","FSM","FSM_type","Value","Value_type","Denominator"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","2015-2016","Academic year","England","All","E92000001","All","All","All","All/Boys/Girls","All","All/FSM/Non-FSM","81","%","652,250"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","2015-2016","Academic year","England","All","E92000001","White","White/Asian/Black/Mixed/Chinese","All","All/Boys/Girls","All","All/FSM/Non-FSM","80","%","486,225"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","2015-2016","Academic year","England","All","E92000001","White - British","Ethnicities used by National Pupil Database (19)","All","All/Boys/Girls","All","All/FSM/Non-FSM","81","%","435,960"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","2015-2016","Academic year","England","All","E92000001","White - Irish","Ethnicities used by National Pupil Database (19)","All","All/Boys/Girls","All","All/FSM/Non-FSM","81","%","1,670"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","2015-2016","Academic year","England","All","E92000001","White - Traveller of Irish Heritage","Ethnicities used by National Pupil Database (19)","All","All/Boys/Girls","All","All/FSM/Non-FSM","41","%","675"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","2015-2016","Academic year","England","All","E92000001","White - Gypsy/Roma","Ethnicities used by National Pupil Database (19)","All","All/Boys/Girls","All","All/FSM/Non-FSM","37","%","2,297"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","2015-2016","Academic year","England","All","E92000001","White - Any other","Ethnicities used by National Pupil Database (19)","All","All/Boys/Girls","All","All/FSM/Non-FSM","78","%","45,623"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","2015-2016","Academic year","England","All","E92000001","Mixed","White/Asian/Black/Mixed/Chinese","All","All/Boys/Girls","All","All/FSM/Non-FSM","82","%","39,662"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","2015-2016","Academic year","England","All","E92000001","Mixed - White and Black Caribbean","Ethnicities used by National Pupil Database (19)","All","All/Boys/Girls","All","All/FSM/Non-FSM","78","%","10,127"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding by ethnicity, free school meal eligibility and gender","2015-2016","Academic year","England","All","E92000001","Mixed - White and Black African","Ethnicities used by National Pupil Database (19)","All","All/Boys/Girls","All","All/FSM/Non-FSM","82","%","5,590"
