"Title","Phonics attainment for children aged 5 to 6 by ethnicity, gender and eligibility for free school meals (FSM)"
"Location","England"
"Time period","2016/17"
"Data source","Phonics screening check and key stage 1 assessments: England 2017"
"Data source link","https://www.gov.uk/government/statistics/phonics-screening-check-and-key-stage-1-assessments-england-2017"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","28/09/17"

"","Boys","","Girls",""
"Ethnicity","FSM","Non-FSM","FSM","Non-FSM"
"All","63","80","74","87"
"Asian","74","82","83","89"
"Bangladeshi","75","81","84","88"
"Indian","77","88","87","93"
"Pakistani","73","78","81","86"
"Asian other","74","83","81","89"
"Black","73","81","81","88"
"Black African","76","82","82","89"
"Black Caribbean","66","77","79","85"
"Black other","70","79","81","86"
"Chinese","79","88","88","90"
"Mixed","68","82","77","88"
"Mixed White/Asian","69","86","79","91"
"Mixed White/Black African","72","83","81","88"
"Mixed White/Black Caribbean","64","76","75","86"
"Mixed other","70","83","78","88"
"White","60","80","71","87"
"White British","60","80","72","87"
"White Irish","49","83","68","87"
"White Irish Traveller","20","34","41","48"
"White Gypsy/Roma","37","33","47","43"
"White other","68","77","74","83"
"Other","69","76","79","83"
