"Measure","Ethnicity","Ethnicity_Type","Time","Time_Type","Geography","Geography_Code","Gender","FSM","Value","Value_Type","Denominator"
"Percentage of pupils meeting the expected standard of phonic decoding by the end of year 2","All","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","All","All","91","%","639493"
"Percentage of pupils meeting the expected standard of phonic decoding by the end of year 2","All","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Boys","All","89","%","327172"
"Percentage of pupils meeting the expected standard of phonic decoding by the end of year 2","All","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Girls","All","93","%","312321"
"Percentage of pupils meeting the expected standard of phonic decoding by the end of year 2","Asian: All","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","All","All","93","%","68062"
"Percentage of pupils meeting the expected standard of phonic decoding by the end of year 2","Asian: All","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Boys","All","91","%","34640"
"Percentage of pupils meeting the expected standard of phonic decoding by the end of year 2","Asian: All","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Girls","All","95","%","33422"
"Percentage of pupils meeting the expected standard of phonic decoding by the end of year 2","Asian: Bangladeshi","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","All","All","92","%","10349"
"Percentage of pupils meeting the expected standard of phonic decoding by the end of year 2","Asian: Bangladeshi","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Boys","All","90","%","5154"
"Percentage of pupils meeting the expected standard of phonic decoding by the end of year 2","Asian: Bangladeshi","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Girls","All","94","%","5195"
"Percentage of pupils meeting the expected standard of phonic decoding by the end of year 2","Asian: Indian","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","All","All","95","%","18361"
"Percentage of pupils meeting the expected standard of phonic decoding by the end of year 2","Asian: Indian","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2015/2016","Academic year","England","E92000001","Boys","All","94","%","9374"
