"Title","Phonics attainment for children aged 5 to 7 by ethnicity"
"Location","England"
"Time period","2016/17"
"Data source","Phonics screening check and key stage 1 assessments: England 2017"
"Data source link","https://www.gov.uk/government/statistics/phonics-screening-check-and-key-stage-1-assessments-england-2017"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","28/09/17"

"Ethnicity","Year 1","Year 2"
"All","81","92"
"Asian","85","93"
"Bangladeshi","84","92"
"Indian","90","95"
"Pakistani","81","92"
"Asian other","85","93"
"Black","83","92"
"Black African","84","92"
"Black Caribbean","79","90"
"Black other","81","91"
"Chinese","88","95"
"Mixed","83","92"
"Mixed White/Asian","86","94"
"Mixed White/Black African","84","92"
"Mixed White/Black Caribbean","78","91"
"Mixed other","83","93"
"White","81","92"
"White British","81","92"
"White Irish","81","91"
"White Irish Traveller","36","60"
"White Gypsy/Roma","39","61"
"White other","79","90"
"Other","79","89"
