"Title","Phonics attainment for children aged 5 to 7 by ethnicity and gender"
"Location","England"
"Time period","2015/16"
"Data source","Phonics screening check and key stage 1 assessments: England 2016"
"Data source link","https://www.gov.uk/government/statistics/phonics-screening-check-and-key-stage-1-assessments-england-2016"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","14/12/16"

"","Boys","","Girls",""
"Ethnicity","Year 1","Year 2","Year 1","Year 2"
"All","77","89","84","93"
"Asian","81","91","87","95"
"Bangladeshi","78","90","86","94"
"Indian","87","94","92","96"
"Pakistani","77","90","85","94"
"Asian other","82","91","88","95"
"Black","78","89","86","94"
"Black African","80","90","87","94"
"Black Caribbean","74","88","84","93"
"Black other","75","87","84","92"
"Chinese","86","92","90","95"
"Mixed","78","90","86","94"
"Mixed White/Asian","82","93","89","96"
"Mixed White/Black African","78","91","86","94"
"Mixed White/Black Caribbean","73","87","83","93"
"Mixed other","80","90","86","94"
"White","77","89","84","94"
"White British","77","90","85","94"
"White Irish","78","89","83","93"
"White Irish Traveller","35","57","47","63"
"White Gypsy/Roma","33","56","41","64"
"White other","75","87","82","91"
"Other","76","88","82","91"
"Unknown","55","70","61","76"
