"Title","Phonics attainment for children aged 5 to 6 by ethnicity, gender and eligibility for free school meals (FSM)"
"Location","England"
"Time period","2016/17"
"Data source","Phonics screening check and key stage 1 assessments: England 2017"
"Data source link","https://www.gov.uk/government/statistics/phonics-screening-check-and-key-stage-1-assessments-england-2017"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","28/09/17"

"gender","Ethnicity","FSM","Non-FSM"
"Boys","All","63","80"
"Boys","Asian","74","82"
"Boys","Bangladeshi","75","81"
"Boys","Indian","77","88"
"Boys","Pakistani","73","78"
"Boys","Asian other","74","83"
"Boys","Black","73","81"
"Boys","Black African","76","82"
"Boys","Black Caribbean","66","77"
"Boys","Black other","70","79"
"Boys","Chinese","79","88"
"Boys","Mixed","68","82"
"Boys","Mixed White/Asian","69","86"
"Boys","Mixed White/Black African","72","83"
"Boys","Mixed White/Black Caribbean","64","76"
"Boys","Mixed other","70","83"
"Boys","White","60","80"
"Boys","White British","60","80"
"Boys","White Irish","49","83"
"Boys","White Irish Traveller","20","34"
"Boys","White Gypsy/Roma","37","33"
"Boys","White other","68","77"
"Boys","Other","69","76"
"Girls","All","74","87"
"Girls","Asian","83","89"
"Girls","Bangladeshi","84","88"
"Girls","Indian","87","93"
"Girls","Pakistani","81","86"
"Girls","Asian other","81","89"
"Girls","Black","81","88"
"Girls","Black African","82","89"
"Girls","Black Caribbean","79","85"
"Girls","Black other","81","86"
"Girls","Chinese","88","90"
"Girls","Mixed","77","88"
"Girls","Mixed White/Asian","79","91"
"Girls","Mixed White/Black African","81","88"
"Girls","Mixed White/Black Caribbean","75","86"
"Girls","Mixed other","78","88"
"Girls","White","71","87"
"Girls","White British","72","87"
"Girls","White Irish","68","87"
"Girls","White Irish Traveller","41","48"
"Girls","White Gypsy/Roma","47","43"
"Girls","White other","74","83"
"Girls","Other","79","83"
