"fsm","Ethnicity","%"
"FSM","All","68"
"FSM","Asian","78"
"FSM","Bangladeshi","80"
"FSM","Indian","82"
"FSM","Pakistani","77"
"FSM","Asian other","78"
"FSM","Black","77"
"FSM","Black African","79"
"FSM","Black Caribbean","73"
"FSM","Black other","76"
"FSM","Chinese","83"
"FSM","Mixed","73"
"FSM","Mixed White/Asian","74"
"FSM","Mixed White/Black African","76"
"FSM","Mixed White/Black Caribbean","70"
"FSM","Mixed other","74"
"FSM","White","65"
"FSM","White British","66"
"FSM","White Irish","58"
"FSM","White Irish Traveller","31"
"FSM","White Gypsy/Roma","42"
"FSM","White other","71"
"FSM","Other","74"
"Non-FSM","All","83"
"Non-FSM","Asian","86"
"Non-FSM","Bangladeshi","84"
"Non-FSM","Indian","90"
"Non-FSM","Pakistani","82"
"Non-FSM","Asian other","86"
"Non-FSM","Black","84"
"Non-FSM","Black African","85"
"Non-FSM","Black Caribbean","81"
"Non-FSM","Black other","82"
"Non-FSM","Chinese","89"
"Non-FSM","Mixed","85"
"Non-FSM","Mixed White/Asian","88"
"Non-FSM","Mixed White/Black African","85"
"Non-FSM","Mixed White/Black Caribbean","81"
"Non-FSM","Mixed other","85"
"Non-FSM","White","83"
"Non-FSM","White British","84"
"Non-FSM","White Irish","84"
"Non-FSM","White Irish Traveller","41"
"Non-FSM","White Gypsy/Roma","38"
"Non-FSM","White other","80"
"Non-FSM","Other","80"
