"Title","Phonics attainment for children aged 5 to 7 by ethnicity and gender"
"Location","England"
"Time period","2016/17"
"Data source","Phonics screening check and key stage 1 assessments: England 2017"
"Data source link","https://www.gov.uk/government/statistics/phonics-screening-check-and-key-stage-1-assessments-england-2017"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","28/09/17"

"gender","Ethnicity","Year 1","Year 2"
"Boys","All","78","90"
"Boys","Asian","82","91"
"Boys","Bangladeshi","80","90"
"Boys","Indian","88","94"
"Boys","Pakistani","77","90"
"Boys","Asian other","83","91"
"Boys","Black","79","89"
"Boys","Black African","81","90"
"Boys","Black Caribbean","74","88"
"Boys","Black other","77","89"
"Boys","Chinese","87","94"
"Boys","Mixed","79","90"
"Boys","Mixed White/Asian","83","92"
"Boys","Mixed White/Black African","81","91"
"Boys","Mixed White/Black Caribbean","73","88"
"Boys","Mixed other","80","91"
"Boys","White","77","90"
"Boys","White British","78","90"
"Boys","White Irish","78","90"
"Boys","White Irish Traveller","27","54"
"Boys","White Gypsy/Roma","34","57"
"Boys","White other","76","88"
"Boys","Other","75","87"
"Girls","All","85","94"
"Girls","Asian","88","95"
"Girls","Bangladeshi","87","95"
"Girls","Indian","92","97"
"Girls","Pakistani","86","94"
"Girls","Asian other","88","95"
"Girls","Black","86","94"
"Girls","Black African","87","95"
"Girls","Black Caribbean","83","93"
"Girls","Black other","85","93"
"Girls","Chinese","90","96"
"Girls","Mixed","86","95"
"Girls","Mixed White/Asian","89","96"
"Girls","Mixed White/Black African","86","94"
"Girls","Mixed White/Black Caribbean","83","94"
"Girls","Mixed other","86","95"
"Girls","White","85","94"
"Girls","White British","85","94"
"Girls","White Irish","84","92"
"Girls","White Irish Traveller","44","67"
"Girls","White Gypsy/Roma","44","65"
"Girls","White other","83","92"
"Girls","Other","83","92"
