"Title","Phonics attainments for children aged 5 to 7 (key stage 1)"
"Location","England"
"Time period","2015/16"
"Data source","Department for Education"
"Data source link","https://www.gov.uk/government/statistics/phonics-screening-check-and-key-stage-1-assessments-england-2016"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","19 December 2016 (updated with disadvantaged data)"
"Measure","Time","Time_type","Region","Local Authority","LA Code","Ethnicity","Ethnicity type","Gender","Gender_type","Value","Value_type","Denominator"
"Percentage of pupils meeting the expected standard of phonic decoding by the end of year 2","2015 - 2016","Academic year","England","All","E92000001","All","All","All","All/Boys/Girls","91","%","639,493"
"Percentage of pupils meeting the expected standard of phonic decoding by the end of year 2","2015 - 2016","Academic year","England","All","E92000001","White","White/Asian/Black/Mixed/Chinese","All","All/Boys/Girls","91","%","476,343"
"Percentage of pupils meeting the expected standard of phonic decoding by the end of year 2","2015 - 2016","Academic year","England","All","E92000001","White - British","Ethnicities used by the National Pupil Database (19)","All","All/Boys/Girls","92","%","427,860"
"Percentage of pupils meeting the expected standard of phonic decoding by the end of year 2","2015 - 2016","Academic year","England","All","E92000001","White - Irish","Ethnicities used by the National Pupil Database (19)","All","All/Boys/Girls","91","%","1,717"
"Percentage of pupils meeting the expected standard of phonic decoding by the end of year 2","2015 - 2016","Academic year","England","All","E92000001","White - Traveller of Irish Heritage","Ethnicities used by the National Pupil Database (19)","All","All/Boys/Girls","60","%","597"
"Percentage of pupils meeting the expected standard of phonic decoding by the end of year 2","2015 - 2016","Academic year","England","All","E92000001","White - Gypsy/Roma","Ethnicities used by the National Pupil Database (19)","All","All/Boys/Girls","60","%","2,381"
"Percentage of pupils meeting the expected standard of phonic decoding by the end of year 2","2015 - 2016","Academic year","England","All","E92000001","White - Any other","Ethnicities used by the National Pupil Database (19)","All","All/Boys/Girls","89","%","43,788"
"Percentage of pupils meeting the expected standard of phonic decoding by the end of year 2","2015 - 2016","Academic year","England","All","E92000001","Mixed","White/Asian/Black/Mixed/Chinese","All","All/Boys/Girls","92","%","37,789"
"Percentage of pupils meeting the expected standard of phonic decoding by the end of year 2","2015 - 2016","Academic year","England","All","E92000001","Mixed - White and Black Caribbean","Ethnicities used by the National Pupil Database (19)","All","All/Boys/Girls","90","%","9,791"
"Percentage of pupils meeting the expected standard of phonic decoding by the end of year 2","2015 - 2016","Academic year","England","All","E92000001","Mixed - White and Black African","Ethnicities used by the National Pupil Database (19)","All","All/Boys/Girls","92","%","5,491"
"Percentage of pupils meeting the expected standard of phonic decoding by the end of year 2","2015 - 2016","Academic year","England","All","E92000001","Mixed - White and Asian","Ethnicities used by the National Pupil Database (19)","All","All/Boys/Girls","94","%","8,851"
