"Title","Phonics attainments for children aged 5 to 7 (key stage 1)"
"Location","England"
"Time period","2016/17"
"Data source","Department for Education"
"Data source link","https://www.gov.uk/government/statistics/phonics-screening-check-and-key-stage-1-assessments-england-2017"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","2018-08-01"
"Measure","Ethnicity","Ethnicity_Type","Time","Time_Type","Region","Local_Authority","Local_Authority_Code","Gender","Value","Value_Type","Denominator"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","All","ONS 2001 5+1","2015/2016","Academic year","East","Peterborough","E06000031","All","77","%","3117"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","All","ONS 2001 5+1","2015/2016","Academic year","East","Luton","E06000032","All","78","%","3274"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","All","ONS 2001 5+1","2016/2017","Academic year","East","Bedford","E06000055","All","77","%","2279"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","All","ONS 2001 5+1","2016/2017","Academic year","East","Thurrock","E06000034","All","84","%","2487"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","All","ONS 2001 5+1","2016/2017","Academic year","East","Cambridgeshire","E10000003","All","80","%","7544"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","All","ONS 2001 5+1","2016/2017","Academic year","East","Essex","E10000012","All","82","%","16914"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","All","ONS 2001 5+1","2015/2016","Academic year","East","Hertfordshire","E10000015","All","83","%","14689"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","All","ONS 2001 5+1","2016/2017","Academic year","East","Luton","E06000032","All","78","%","3435"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","All","ONS 2001 5+1","2015/2016","Academic year","East","Bedford","E06000055","All","75","%","2284"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","All","ONS 2001 5+1","2015/2016","Academic year","East","Essex","E10000012","All","81","%","16761"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","All","ONS 2001 5+1","2016/2017","Academic year","East","Southend-on-Sea","E06000033","All","82","%","2206"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","All","ONS 2001 5+1","2016/2017","Academic year","East","Norfolk","E10000020","All","78","%","9445"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","All","ONS 2001 5+1","2016/2017","Academic year","East","Central Bedfordshire","E06000056","All","82","%","3682"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","All","ONS 2001 5+1","2015/2016","Academic year","East","Cambridgeshire","E10000003","All","78","%","7309"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","All","ONS 2001 5+1","2015/2016","Academic year","East","Central Bedfordshire","E06000056","All","81","%","3530"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","All","ONS 2001 5+1","2015/2016","Academic year","East","Thurrock","E06000034","All","83","%","2347"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","All","ONS 2001 5+1","2016/2017","Academic year","East","Peterborough","E06000031","All","75","%","3092"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","All","ONS 2001 5+1","2015/2016","Academic year","East","Suffolk","E10000029","All","79","%","7982"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","All","ONS 2001 5+1","2015/2016","Academic year","East","Norfolk","E10000020","All","78","%","9153"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","All","ONS 2001 5+1","2016/2017","Academic year","East","Suffolk","E10000029","All","80","%","8283"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","All","ONS 2001 5+1","2015/2016","Academic year","East","Southend-on-Sea","E06000033","All","80","%","2208"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","All","ONS 2001 5+1","2016/2017","Academic year","East","Hertfordshire","E10000015","All","83","%","14991"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","All","ONS 2001 5+1","2016/2017","Academic year","East Midlands","Northamptonshire","E10000021","All","81","%","9703"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","All","ONS 2001 5+1","2016/2017","Academic year","East Midlands","Lincolnshire","E10000019","All","82","%","8281"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","All","ONS 2001 5+1","2016/2017","Academic year","East Midlands","Nottingham","E06000018","All","79","%","3926"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","All","ONS 2001 5+1","2015/2016","Academic year","East Midlands","Nottinghamshire","E10000024","All","77","%","9504"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","All","ONS 2001 5+1","2015/2016","Academic year","East Midlands","Nottingham","E06000018","All","75","%","3812"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","All","ONS 2001 5+1","2015/2016","Academic year","East Midlands","Northamptonshire","E10000021","All","81","%","9487"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","All","ONS 2001 5+1","2016/2017","Academic year","East Midlands","Leicester","E06000016","All","80","%","4844"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","All","ONS 2001 5+1","2016/2017","Academic year","East Midlands","Leicestershire","E10000018","All","82","%","8018"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","All","ONS 2001 5+1","2016/2017","Academic year","East Midlands","Nottinghamshire","E10000024","All","79","%","9761"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","All","ONS 2001 5+1","2016/2017","Academic year","East Midlands","Derby","E06000015","All","80","%","3385"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","All","ONS 2001 5+1","2016/2017","Academic year","East Midlands","Derbyshire","E10000007","All","80","%","8774"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","All","ONS 2001 5+1","2016/2017","Academic year","East Midlands","Rutland","E06000017","All","83","%","412"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","All","ONS 2001 5+1","2015/2016","Academic year","East Midlands","Derbyshire","E10000007","All","79","%","8569"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","All","ONS 2001 5+1","2015/2016","Academic year","East Midlands","Rutland","E06000017","All","86","%","402"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","All","ONS 2001 5+1","2015/2016","Academic year","East Midlands","Lincolnshire","E10000019","All","83","%","8133"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","All","ONS 2001 5+1","2015/2016","Academic year","East Midlands","Derby","E06000015","All","78","%","3397"
