"Gender","Ethnicity","%"
"Men","Asian",""
"Men","Bangladeshi","0.1"
"Men","Indian","0.6"
"Men","Pakistani","0.2"
"Men","Asian other","0.2"
"Men","Black",""
"Men","Black African","0.2"
"Men","Black Caribbean","0.4"
"Men","Black other","0.1"
"Men","Mixed",""
"Men","Mixed White/Asian","0.3"
"Men","Mixed White/Black African","!"
"Men","Mixed White/Black Caribbean","0.1"
"Men","Mixed other","0.2"
"Men","White",""
"Men","White British","93.2"
"Men","White Irish","2.1"
"Men","White other","2.0"
"Men","Chinese and other",""
"Men","Chinese","!"
"Men","Any other","0.2"
"Women","Asian",""
"Women","Bangladeshi","0.1"
"Women","Indian","0.8"
"Women","Pakistani","0.3"
"Women","Asian other","0.2"
"Women","Black",""
"Women","Black African","0.2"
"Women","Black Caribbean","0.9"
"Women","Black other","0.1"
"Women","Mixed",""
"Women","Mixed White/Asian","0.2"
"Women","Mixed White/Black African","0.1"
"Women","Mixed White/Black Caribbean","0.3"
"Women","Mixed other","0.2"
"Women","White",""
"Women","White British","93.0"
"Women","White Irish","1.8"
"Women","White other","1.7"
"Women","Chinese and other",""
"Women","Chinese","0.1"
"Women","Any other","0.2"
