"","Men","","Women",""
"Ethnicity","%","Teachers","%","Teachers"
"Asian","","","",""
"Bangladeshi","0.5","600","0.5","1,700"
"Indian","1.5","1,700","1.9","6,800"
"Pakistani","1.0","1,200","1.0","3,700"
"Asian other","0.7","800","0.6","2,100"
"Black","","","",""
"Black African","1.2","1,400","0.6","2,200"
"Black Caribbean","1.0","1,100","1.1","3,800"
"Black other","0.4","400","0.3","1,000"
"Mixed","","","",""
"Mixed White/Asian","0.4","400","0.3","1,100"
"Mixed White/Black African","0.1","200","0.1","400"
"Mixed White/Black Caribbean","0.3","300","0.3","1,200"
"Mixed other","0.4","500","0.5","1,700"
"White","","","",""
"White British","86.4","99,700","86.6","309,000"
"White Irish","2.0","2,300","1.6","5,600"
"White other","3.3","3,800","3.9","14,100"
"Chinese and other","","","",""
"Chinese","0.1","200","0.2","600"
"Any other","0.6","600","0.5","1,900"
