"Highest qualification held","Highest qualification",""
"All","All","4%"
"All","Asian","5%"
"All","Black","8%"
"All","Mixed","9%"
"All","White","4%"
"All","Other","5%"
"Level 4 and above","All","3%"
"Level 4 and above","Asian","4%"
"Level 4 and above","Black","6%"
"Level 4 and above","Mixed","5%"
"Level 4 and above","White","2%"
"Level 4 and above","Other","5%"
"Level 3","All","3%"
"Level 3","Asian","8%"
"Level 3","Black","6%"
"Level 3","Mixed","10%"
"Level 3","White","3%"
"Level 3","Other","4%"
"Level 2","All","5%"
"Level 2","Asian","8%"
"Level 2","Black","17%"
"Level 2","Mixed","14%"
"Level 2","White","5%"
"Level 2","Other","7%"
"Below level 2","All","6%"
"Below level 2","Asian","8%"
"Below level 2","Black","12%"
"Below level 2","Mixed","?"
"Below level 2","White","6%"
"Below level 2","Other","?"
"Other qualifications","All","4%"
"Other qualifications","Asian","7%"
"Other qualifications","Black","5%"
"Other qualifications","Mixed","?"
"Other qualifications","White","4%"
"Other qualifications","Other","5%"
"No qualifications","All","6%"
"No qualifications","Asian","4%"
"No qualifications","Black","7%"
"No qualifications","Mixed","?"
"No qualifications","White","7%"
"No qualifications","Other","4%"
