"Title","Employment by ethnicity and age"
"Location","England, Wales and Scotland"
"Time period","2016"
"Data source","Annual Population Survey"
"Data source link","https://www.ons.gov.uk/employmentandlabourmarket/peopleinwork/employmentandemployeetypes/qmis/annualpopulationsurveyapsqmi"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","January 2004"

"","16-24","","25-49","","50-64",""
"Ethnicity","%","Employed people","%","Employed people","%","Employed people"
"All","54","3,745,000","83","17,458,000","70","8,275,000"
"Indian","35","56,000","82","616,000","70","156,000"
"Pakistani/Bangladeshi","32","85,000","63","480,000","49","72,000"
"Asian other","27","48,000","74","368,000","68","97,000"
"Black","38","107,000","75","565,000","73","220,000"
"Mixed","39","68,000","79","218,000","68","41,000"
"White British","58","3,123,000","85","12,997,000","70","7,277,000"
"White other","56","213,000","85","1,857,000","75","323,000"
"Other","33","43,000","68","342,000","65","83,000"
