"Title","Lifetime suicidal thoughts and self-harm in adults, England, 2014"
"Location","England"
"Time period","2014"
"Data source","Adult Psychiatric Morbidity Survey: Survey of Mental Health and Wellbeing, England, 2014 http://content.digital.nhs.uk/catalogue/PUB21748"
"Source","https://www.ethnicityfactsandfigures.digitalbeta.org.uk"

"Measure","Time","Time_type","Geography","Ethnicity","Ethnicity_type","Gender","Gender_type","Suicidal thoughts and self harm","Suicidal thoughts and self harm_type","Value","Value type","Value Note","Lower CI","Upper CI","unweighted sample size"
"Suicidal thoughts and self harm","2014","Year","England","White - British","5","All","Men/Women/All","Suicidal thoughts","Suicidal thoughts/suicide attempts/self harm","21.6","%","","20.30%","22.90%","6,387"
"Suicidal thoughts and self harm","2014","Year","England","White - Other","5","All","Men/Women/All","Suicidal thoughts","Suicidal thoughts/suicide attempts/self harm","20.8","%","","16.40%","25.90%","425"
"Suicidal thoughts and self harm","2014","Year","England","Black","5","All","Men/Women/All","Suicidal thoughts","Suicidal thoughts/suicide attempts/self harm","20.7","%","","14.80%","28.20%","197"
"Suicidal thoughts and self harm","2014","Year","England","Asian","5","All","Men/Women/All","Suicidal thoughts","Suicidal thoughts/suicide attempts/self harm","13.1","%","","9.50%","17.70%","357"
"Suicidal thoughts and self harm","2014","Year","England","Mixed/Other","5","All","Men/Women/All","Suicidal thoughts","Suicidal thoughts/suicide attempts/self harm","17.9","%","","11.40%","27.00%","151"
"Suicidal thoughts and self harm","2014","Year","England","White - British","5","All","Men/Women/All","Suicide attempts","Suicidal thoughts/suicide attempts/self harm","6.9","%","","6.20%","7.70%","6,387"
"Suicidal thoughts and self harm","2014","Year","England","White - Other","5","All","Men/Women/All","Suicide attempts","Suicidal thoughts/suicide attempts/self harm","6.1","%","","3.80%","9.80%","425"
"Suicidal thoughts and self harm","2014","Year","England","Black","5","All","Men/Women/All","Suicide attempts","Suicidal thoughts/suicide attempts/self harm","6.1","%","","3.40%","10.70%","197"
"Suicidal thoughts and self harm","2014","Year","England","Asian","5","All","Men/Women/All","Suicide attempts","Suicidal thoughts/suicide attempts/self harm","5.3","%","","3.30%","8.50%","357"
"Suicidal thoughts and self harm","2014","Year","England","Mixed/Other","5","All","Men/Women/All","Suicide attempts","Suicidal thoughts/suicide attempts/self harm","5.7","%","","2.70%","11.60%","151"
"Suicidal thoughts and self harm","2014","Year","England","White - British","5","All","Men/Women/All","Self-harm","Suicidal thoughts/suicide attempts/self harm","8.1","%","","7.30%","9.00%","6,387"
"Suicidal thoughts and self harm","2014","Year","England","White - Other","5","All","Men/Women/All","Self-harm","Suicidal thoughts/suicide attempts/self harm","6.1","%","","3.60%","10.10%","425"
"Suicidal thoughts and self harm","2014","Year","England","Black","5","All","Men/Women/All","Self-harm","Suicidal thoughts/suicide attempts/self harm","4.8","%","","2.40%","9.20%","197"
"Suicidal thoughts and self harm","2014","Year","England","Asian","5","All","Men/Women/All","Self-harm","Suicidal thoughts/suicide attempts/self harm","5.5","%","","3.50%","8.40%","357"
"Suicidal thoughts and self harm","2014","Year","England","Mixed/Other","5","All","Men/Women/All","Self-harm","Suicidal thoughts/suicide attempts/self harm","4.2","%","","2.20%","8.00%","151"
