"Measure","Ethnicity","Ethnicity_type","Time","Time_Type","Geography","Geography_type","Geography_code","Gender","Age","Value","Value_Type","Lower 95% C.I.","Upper 95% C.I.","Number of respondents"
"Percentage of adults (aged 18+) classified as overweight or obese","White British","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Financial year","England","Country","E92000001","Persons","18+ yrs","62.00161028","%","61.72893313","62.28663274","146869"
"Percentage of adults (aged 18+) classified as overweight or obese","White Other","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Financial year","England","Country","E92000001","Persons","18+ yrs","57.0434112","%","56.03116502","58.09011821","8610"
"Percentage of adults (aged 18+) classified as overweight or obese","Asian","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Financial year","England","Country","E92000001","Persons","18+ yrs","57.90200021","%","56.60674736","59.26285687","6018"
"Percentage of adults (aged 18+) classified as overweight or obese","Black","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Financial year","England","Country","E92000001","Persons","18+ yrs","72.83066619","%","70.63982471","74.96543392","1998"
"Percentage of adults (aged 18+) classified as overweight or obese","Chinese","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Financial year","England","Country","E92000001","Persons","18+ yrs","36.03449099","%","32.37609704","39.62959515","857"
"Percentage of adults (aged 18+) classified as overweight or obese","Mixed","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Financial year","England","Country","E92000001","Persons","18+ yrs","54.57283001","%","51.82119821","57.64667577","1529"
"Percentage of adults (aged 18+) classified as overweight or obese","Other","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Financial year","England","Country","E92000001","Persons","18+ yrs","58.45908976","%","55.69076939","61.33781493","1191"
"Percentage of adults (aged 18+) classified as overweight or obese","All","White British, White Other, Asian, Black, Chinese, Mixed, Other","2015/16","Financial year","England","Country","E92000001","Persons","18+ yrs","61.28382274","%","61.05412872","61.52775707","170273"
"Percentage of adults (aged 18+) classified as overweight or obese","White British","White British, White Other, Asian, Black, Chinese, Mixed, Other","2016/17","Financial year","England","Country","E92000001","Persons","18+ yrs","62.33808819","%","62.06664672","62.61590393","142038"
"Percentage of adults (aged 18+) classified as overweight or obese","White Other","White British, White Other, Asian, Black, Chinese, Mixed, Other","2016/17","Financial year","England","Country","E92000001","Persons","18+ yrs","57.56303439","%","56.47909373","58.63639136","8678"
"Percentage of adults (aged 18+) classified as overweight or obese","Asian","White British, White Other, Asian, Black, Chinese, Mixed, Other","2016/17","Financial year","England","Country","E92000001","Persons","18+ yrs","56.31883343","%","54.95732313","57.70394132","6142"
"Percentage of adults (aged 18+) classified as overweight or obese","Black","White British, White Other, Asian, Black, Chinese, Mixed, Other","2016/17","Financial year","England","Country","E92000001","Persons","18+ yrs","68.9539765","%","66.83644867","71.01333583","1987"
"Percentage of adults (aged 18+) classified as overweight or obese","Chinese","White British, White Other, Asian, Black, Chinese, Mixed, Other","2016/17","Financial year","England","Country","E92000001","Persons","18+ yrs","31.50699969","%","27.71981772","35.27144276","873"
"Percentage of adults (aged 18+) classified as overweight or obese","Mixed","White British, White Other, Asian, Black, Chinese, Mixed, Other","2016/17","Financial year","England","Country","E92000001","Persons","18+ yrs","57.29629857","%","54.37335786","60.23946301","1616"
"Percentage of adults (aged 18+) classified as overweight or obese","Other","White British, White Other, Asian, Black, Chinese, Mixed, Other","2016/17","Financial year","England","Country","E92000001","Persons","18+ yrs","59.45445613","%","56.54813517","62.35542328","1084"
"Percentage of adults (aged 18+) classified as overweight or obese","All","White British, White Other, Asian, Black, Chinese, Mixed, Other","2016/17","Financial year","England","Country","E92000001","Persons","18+ yrs","61.28859682","%","61.04670698","61.53653412","166213"
