"Title","NHS staff experiencing discrimination at work by ethnicity and type of trust"
"Location","England"
"Time period","2017"
"Data source","Workforce Race Equality Standard (WRES)"
"Data source link","https://www.england.nhs.uk/publication/workforce-race-equality-standard-data-reporting-march-2017/"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","March 2018"

"Standard Ethnicity","Type of NHS trust","%"
"White","All","7"
"White","Ambulance trusts","11"
"White","Community provider trusts","5"
"White","Hospital trusts (also known as acute)","7"
"White","Mental health trusts","6"
"Other","All","15"
"Other","Ambulance trusts","18"
"Other","Community provider trusts","12"
"Other","Hospital trusts (also known as acute)","15"
"Other","Mental health trusts","13"
