"Ethnicity","region","%","Total unemployed"
"All","All","4","1,424,700"
"All","East Midlands","4","104,000"
"All","East of England","4","114,700"
"All","London","5","260,200"
"All","North East","6","79,200"
"All","North West","4","157,200"
"All","Scotland","4","111,200"
"All","South East","3","149,900"
"All","South West","3","93,500"
"All","Wales","5","71,500"
"All","West Midlands","5","148,300"
"All","Yorkshire and The Humber","5","134,900"
"White","All","4","1,105,300"
"White","East Midlands","4","87,400"
"White","East of England","3","97,500"
"White","London","4","119,400"
"White","North East","6","73,600"
"White","North West","4","127,300"
"White","Scotland","4","104,600"
"White","South East","3","127,500"
"White","South West","3","83,800"
"White","Wales","5","67,100"
"White","West Midlands","5","107,700"
"White","Yorkshire and The Humber","5","109,200"
"Other than White","All","8","317,000"
"Other than White","East Midlands","7","16,600"
"Other than White","East of England","6","17,200"
"Other than White","London","8","140,300"
"Other than White","North East","9","4,900"
"Other than White","North West","9","30,000"
"Other than White","Scotland","6","6,600"
"Other than White","South East","5","21,700"
"Other than White","South West","7","9,700"
"Other than White","Wales","?","?"
"Other than White","West Midlands","9","39,900"
"Other than White","Yorkshire and The Humber","10","25,700"
