"Title","Unemployment by ethnicity over time"
"Location","England, Wales and Scotland"
"Time period","2004 to 2016"
"Data source","Annual Population Survey"
"Data source link","https://www.ons.gov.uk/employmentandlabourmarket/peopleinwork/employmentandemployeetypes/qmis/annualpopulationsurveyapsqmi"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","December 2016"

"DATE","Ethnicity","%"
"2004","All","5"
"2004","Indian","7"
"2004","Pakistani/Bangladeshi","13"
"2004","Asian other","9"
"2004","Black","13"
"2004","Mixed","12"
"2004","White British","4"
"2004","White other","6"
"2004","Other","11"
"2005","All","5"
"2005","Indian","7"
"2005","Pakistani/Bangladeshi","13"
"2005","Asian other","8"
"2005","Black","14"
"2005","Mixed","12"
"2005","White British","4"
"2005","White other","6"
"2005","Other","11"
"2006","All","5"
"2006","Indian","8"
"2006","Pakistani/Bangladeshi","15"
"2006","Asian other","8"
"2006","Black","13"
"2006","Mixed","?"
"2006","White British","5"
"2006","White other","5"
"2006","Other","13"
"2007","All","5"
"2007","Indian","7"
"2007","Pakistani/Bangladeshi","15"
"2007","Asian other","9"
"2007","Black","13"
"2007","Mixed","12"
"2007","White British","5"
"2007","White other","5"
"2007","Other","10"
"2008","All","6"
"2008","Indian","7"
"2008","Pakistani/Bangladeshi","15"
"2008","Asian other","7"
"2008","Black","14"
"2008","Mixed","13"
"2008","White British","5"
"2008","White other","5"
"2008","Other","11"
"2009","All","8"
"2009","Indian","9"
"2009","Pakistani/Bangladeshi","17"
"2009","Asian other","9"
"2009","Black","18"
"2009","Mixed","14"
"2009","White British","7"
"2009","White other","7"
"2009","Other","12"
"2010","All","8"
"2010","Indian","8"
"2010","Pakistani/Bangladeshi","16"
"2010","Asian other","9"
"2010","Black","16"
"2010","Mixed","15"
"2010","White British","7"
"2010","White other","6"
"2010","Other","13"
"2011","All","8"
"2011","Indian","N/A"
"2011","Pakistani/Bangladeshi","N/A"
"2011","Asian other","N/A"
"2011","Black","N/A"
"2011","Mixed","N/A"
"2011","White British","N/A"
"2011","White other","N/A"
"2011","Other","N/A"
"2012","All","8"
"2012","Indian","10"
"2012","Pakistani/Bangladeshi","17"
"2012","Asian other","10"
"2012","Black","17"
"2012","Mixed","16"
"2012","White British","7"
"2012","White other","6"
"2012","Other","14"
"2013","All","8"
"2013","Indian","9"
"2013","Pakistani/Bangladeshi","18"
"2013","Asian other","9"
"2013","Black","17"
"2013","Mixed","16"
"2013","White British","7"
"2013","White other","6"
"2013","Other","13"
"2014","All","6"
"2014","Indian","6"
"2014","Pakistani/Bangladeshi","14"
"2014","Asian other","8"
"2014","Black","15"
"2014","Mixed","13"
"2014","White British","6"
"2014","White other","6"
"2014","Other","10"
"2015","All","5"
"2015","Indian","7"
"2015","Pakistani/Bangladeshi","12"
"2015","Asian other","7"
"2015","Black","12"
"2015","Mixed","11"
"2015","White British","5"
"2015","White other","5"
"2015","Other","9"
"2016","All","5"
"2016","Indian","5"
"2016","Pakistani/Bangladeshi","11"
"2016","Asian other","6"
"2016","Black","10"
"2016","Mixed","11"
"2016","White British","4"
"2016","White other","4"
"2016","Other","7"
