"Title","Unemployed 16-24 year olds by ethnicity over time"
"Location","England, Wales and Scotland"
"Time period","2004 to 2016"
"Data source","Annual Population Survey"
"Data source link","https://www.ons.gov.uk/employmentandlabourmarket/peopleinwork/employmentandemployeetypes/qmis/annualpopulationsurveyapsqmi"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","December 2016"

"","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"Ethnicity","%","%","%","%","%","%","%","%","%","%","%","%","%"
"White","11","12","13","13","14","18","18","N/A","20","18","16","13","12"
"Other","24","23","23","24","26","29","31","N/A","33","35","27","24","23"
