"Title","Overweight children by ethnicity "
"Location","England"
"Time period","2014/15 to 2015/16"
"Data source","Public Health Outcomes Framework"
"Data source link","http://www.phoutcomes.info/"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","-"

"Time","Ethnicity","4 to 5 year olds","10 to 11 year olds"
"2014/15","All","21.9","33.2"
"2014/15","Bangladeshi","21.6","43.0"
"2014/15","Chinese","17.3","29.8"
"2014/15","Indian","14.9","35.1"
"2014/15","Pakistani","19.8","39.1"
"2014/15","Asian other","19.4","38.6"
"2014/15","Black African","30.8","44.8"
"2014/15","Black Caribbean","24.7","43.1"
"2014/15","Black other","28.7","43.4"
"2014/15","Mixed White/Asian","15.6","29.4"
"2014/15","Mixed White/Black African","28.6","39.6"
"2014/15","Mixed White/Black Caribbean","25.5","39.5"
"2014/15","Mixed other","22.1","35.2"
"2014/15","White British","22.1","31.3"
"2014/15","White Irish","23.8","31.8"
"2014/15","White other","20.7","35.1"
"2014/15","Any other","23.2","39.1"
"2014/15","Unknown","21.3","32.3"
"2015/16","All","22.1","34.2"
"2015/16","Bangladeshi","20.3","42.7"
"2015/16","Chinese","17.1","30.2"
"2015/16","Indian","14.5","36.3"
"2015/16","Pakistani","19.2","40.6"
"2015/16","Asian other","19.6","38.2"
"2015/16","Black African","31.2","45.9"
"2015/16","Black Caribbean","25.2","45.3"
"2015/16","Black other","28.4","41.6"
"2015/16","Mixed White/Asian","16.2","30.1"
"2015/16","Mixed White/Black African","26.7","40.3"
"2015/16","Mixed White/Black Caribbean","24.9","39.4"
"2015/16","Mixed other","22.0","36.7"
"2015/16","White British","22.4","31.9"
"2015/16","White Irish","24.7","32.8"
"2015/16","White other","20.4","36.2"
"2015/16","Any other","23.8","40.6"
"2015/16","Unknown","22.0","34.4"
