Measure,Time,Time_type,Ethnicity,Ethnicity_type,Geography,Geography_type,Gender,Gender_type,Age Group,Age Group Type,NS-SEC group,Income band,Region,Tenure,Value,Standard Deviation,Sample size
Average percentage of income spent on mortgage/rent,2014-15 and 2015-16,Two years,White - British,ONS 18 + 1,England,England as a whole,All,All,All,All,All,All,All,Owner occupiers,17,14,6082
Average percentage of income spent on mortgage/rent,2014-15 and 2015-16,Two years,White - Irish,ONS 18 + 1,England,England as a whole,All,All,All,All,All,All,All,Owner occupiers,20,20,44
Average percentage of income spent on mortgage/rent,2014-15 and 2015-16,Two years,White - Gypsy or Irish Traveller,ONS 18 + 1,England,England as a whole,All,All,All,All,All,All,All,Owner occupiers,?,?,?
Average percentage of income spent on mortgage/rent,2014-15 and 2015-16,Two years,White - Other,ONS 18 + 1,England,England as a whole,All,All,All,All,All,All,All,Owner occupiers,21,20,206
Average percentage of income spent on mortgage/rent,2014-15 and 2015-16,Two years,Mixed/Multiple ethnic groups - White and Black Caribbean,ONS 18 + 1,England,England as a whole,All,All,All,All,All,All,All,Owner occupiers,?,?,?
Average percentage of income spent on mortgage/rent,2014-15 and 2015-16,Two years,Mixed/Multiple ethnic groups - White and Black African,ONS 18 + 1,England,England as a whole,All,All,All,All,All,All,All,Owner occupiers,?,?,?
Average percentage of income spent on mortgage/rent,2014-15 and 2015-16,Two years,Mixed/Multiple ethnic groups - White and Asian,ONS 18 + 1,England,England as a whole,All,All,All,All,All,All,All,Owner occupiers,?,?,?
Average percentage of income spent on mortgage/rent,2014-15 and 2015-16,Two years,Mixed/Multiple ethnic groups - Other,ONS 18 + 1,England,England as a whole,All,All,All,All,All,All,All,Owner occupiers,?,?,?
Average percentage of income spent on mortgage/rent,2014-15 and 2015-16,Two years,Asian/Asian British - Indian,ONS 18 + 1,England,England as a whole,All,All,All,All,All,All,All,Owner occupiers,21,19,201
Average percentage of income spent on mortgage/rent,2014-15 and 2015-16,Two years,Asian/Asian British - Pakistani,ONS 18 + 1,England,England as a whole,All,All,All,All,All,All,All,Owner occupiers,19,13,116
Average percentage of income spent on mortgage/rent,2014-15 and 2015-16,Two years,Asian/Asian British - Bangladeshi,ONS 18 + 1,England,England as a whole,All,All,All,All,All,All,All,Owner occupiers,22,14,32
Average percentage of income spent on mortgage/rent,2014-15 and 2015-16,Two years,Asian/Asian British - Chinese,ONS 18 + 1,England,England as a whole,All,All,All,All,All,All,All,Owner occupiers,23,15,34
Average percentage of income spent on mortgage/rent,2014-15 and 2015-16,Two years,Asian/Asian British - Other,ONS 18 + 1,England,England as a whole,All,All,All,All,All,All,All,Owner occupiers,22,17,62
Average percentage of income spent on mortgage/rent,2014-15 and 2015-16,Two years,Black African/Caribbean/Black British - African,ONS 18 + 1,England,England as a whole,All,All,All,All,All,All,All,Owner occupiers,20,12,66
Average percentage of income spent on mortgage/rent,2014-15 and 2015-16,Two years,Black African/Caribbean/Black British - Caribbean,ONS 18 + 1,England,England as a whole,All,All,All,All,All,All,All,Owner occupiers,21,14,68
Average percentage of income spent on mortgage/rent,2014-15 and 2015-16,Two years,Black African/Caribbean/Black British - Other,ONS 18 + 1,England,England as a whole,All,All,All,All,All,All,All,Owner occupiers,?,?,?
Average percentage of income spent on mortgage/rent,2014-15 and 2015-16,Two years,Other ethnic group - Arab,ONS 18 + 1,England,England as a whole,All,All,All,All,All,All,All,Owner occupiers,?,?,?
Average percentage of income spent on mortgage/rent,2014-15 and 2015-16,Two years,Other ethnic group - Any other,ONS 18 + 1,England,England as a whole,All,All,All,All,All,All,All,Owner occupiers,22,18,46
Average percentage of income spent on mortgage/rent,2014-15 and 2015-16,Two years,White - British,ONS 18 + 1,England,England as a whole,All,All,All,All,All,All,All,Renters,30,22,8340
Average percentage of income spent on mortgage/rent,2014-15 and 2015-16,Two years,White - Irish,ONS 18 + 1,England,England as a whole,All,All,All,All,All,All,All,Renters,32,16,109
Average percentage of income spent on mortgage/rent,2014-15 and 2015-16,Two years,White - Gypsy or Irish Traveller,ONS 18 + 1,England,England as a whole,All,All,All,All,All,All,All,Renters,?,?,?
Average percentage of income spent on mortgage/rent,2014-15 and 2015-16,Two years,White - Other,ONS 18 + 1,England,England as a whole,All,All,All,All,All,All,All,Renters,34,29,737
Average percentage of income spent on mortgage/rent,2014-15 and 2015-16,Two years,Mixed/Multiple ethnic groups - White and Black Caribbean,ONS 18 + 1,England,England as a whole,All,All,All,All,All,All,All,Renters,40,27,83
Average percentage of income spent on mortgage/rent,2014-15 and 2015-16,Two years,Mixed/Multiple ethnic groups - White and Black African,ONS 18 + 1,England,England as a whole,All,All,All,All,All,All,All,Renters,34,23,72
Average percentage of income spent on mortgage/rent,2014-15 and 2015-16,Two years,Mixed/Multiple ethnic groups - White and Asian,ONS 18 + 1,England,England as a whole,All,All,All,All,All,All,All,Renters,?,?,?
Average percentage of income spent on mortgage/rent,2014-15 and 2015-16,Two years,Mixed/Multiple ethnic groups - Other,ONS 18 + 1,England,England as a whole,All,All,All,All,All,All,All,Renters,46,38,30
Average percentage of income spent on mortgage/rent,2014-15 and 2015-16,Two years,Asian/Asian British - Indian,ONS 18 + 1,England,England as a whole,All,All,All,All,All,All,All,Renters,31,17,159
Average percentage of income spent on mortgage/rent,2014-15 and 2015-16,Two years,Asian/Asian British - Pakistani,ONS 18 + 1,England,England as a whole,All,All,All,All,All,All,All,Renters,36,23,135
Average percentage of income spent on mortgage/rent,2014-15 and 2015-16,Two years,Asian/Asian British - Bangladeshi,ONS 18 + 1,England,England as a whole,All,All,All,All,All,All,All,Renters,32,18,90
Average percentage of income spent on mortgage/rent,2014-15 and 2015-16,Two years,Asian/Asian British - Chinese,ONS 18 + 1,England,England as a whole,All,All,All,All,All,All,All,Renters,81,75,71
Average percentage of income spent on mortgage/rent,2014-15 and 2015-16,Two years,Asian/Asian British - Other,ONS 18 + 1,England,England as a whole,All,All,All,All,All,All,All,Renters,44,40,124
Average percentage of income spent on mortgage/rent,2014-15 and 2015-16,Two years,Black African/Caribbean/Black British - African,ONS 18 + 1,England,England as a whole,All,All,All,All,All,All,All,Renters,39,55,391
Average percentage of income spent on mortgage/rent,2014-15 and 2015-16,Two years,Black African/Caribbean/Black British - Caribbean,ONS 18 + 1,England,England as a whole,All,All,All,All,All,All,All,Renters,33,19,237
Average percentage of income spent on mortgage/rent,2014-15 and 2015-16,Two years,Black African/Caribbean/Black British - Other,ONS 18 + 1,England,England as a whole,All,All,All,All,All,All,All,Renters,34,19,31
Average percentage of income spent on mortgage/rent,2014-15 and 2015-16,Two years,Other ethnic group - Arab,ONS 18 + 1,England,England as a whole,All,All,All,All,All,All,All,Renters,45,46,54
Average percentage of income spent on mortgage/rent,2014-15 and 2015-16,Two years,Other ethnic group - Any other,ONS 18 + 1,England,England as a whole,All,All,All,All,All,All,All,Renters,42,34,157
