"Title","Spending on rent by ethnicity"
"Location","England"
"Time period","2014/15 and 2015/16 (combined)"
"Data source","English Housing Survey https://www.gov.uk/government/collections/english-housing-survey"
"Source","https://www.ethnicityfactsandfigures.digitalbeta.org.uk"

"Ethnicity","Ethnicity_type","Tenure","Value"
"White - British","ONS 18+1","Homeowners","30"
"White - Irish","ONS 18+1","Homeowners","32"
"White - Gypsy or Irish Traveller","ONS 18+1","Homeowners","?"
"White - Other","ONS 18+1","Homeowners","34"
"Mixed - White and Black Caribbean","ONS 18+1","Homeowners","40"
"Mixed - White and Black African","ONS 18+1","Homeowners","34"
"Mixed - White and Asian","ONS 18+1","Homeowners","?"
"Mixed - Other","ONS 18+1","Homeowners","46"
"Asian - Indian","ONS 18+1","Homeowners","31"
"Asian - Pakistani","ONS 18+1","Homeowners","36"
"Asian - Bangladeshi","ONS 18+1","Homeowners","32"
"Asian - Chinese","ONS 18+1","Homeowners","81"
"Asian - Other","ONS 18+1","Homeowners","44"
"Black - African","ONS 18+1","Homeowners","39"
"Black - Caribbean","ONS 18+1","Homeowners","33"
"Black - Other","ONS 18+1","Homeowners","34"
"Other - Arab","ONS 18+1","Homeowners","45"
"Other - Any other","ONS 18+1","Homeowners","42"
"White","","Homeowners",""
"Mixed","","Homeowners",""
"Asian","","Homeowners",""
"Black","","Homeowners",""
"Other","","Homeowners",""
