"Title","Households with damp problems by ethnicity"
"Location","England"
"Time period","2014/15 and 2015/16 (combined)"
"Data source","English Housing Survey https://www.gov.uk/government/collections/english-housing-survey"
"Source","https://www.ethnicityfactsandfigures.digitalbeta.org.uk"

"Ethnicity","Value","Denominator","Numerator"
"English / Welsh / Scottish / Northern Irish / British","4","18969280","736528"
"Irish","3","194531","4878"
"Gypsy or Irish Traveller","?","?","?"
"Any Other White background","8","1006085","78668"
"White and Black Caribbean","4","94085","3851"
"White and Black African","12","73586","8653"
"White and Asian","?","?","?"
"Any other Mixed / multiple ethnic background","?","?","?"
"Indian","3","478112","15415"
"Pakistani","11","285003","32541"
"Bangladeshi","6","103335","5853"
"Chinese","3","140707","3569"
"Any other Asian background","5","240993","12902"
"African","12","415843","49331"
"Caribbean","6","266674","16339"
"Any other Black background","?","?","?"
"Arab","26","46151","11808"
"Any other ethnic group","4","199370","8443"
"Other","","",""
"White","","",""
"Asian","","",""
"Mixed","","",""
"Black","","",""
