"Title","Writing attainments for children aged 5 to 7 by ethnicity and free school meals (FSM)"
"Location","England"
"Time period","2015/16"
"Data source","Key stage 1 statistics https://www.gov.uk/government/statistics/phonics-screening-check-and-key-stage-1-assessments-england-2016"
"Source","https://www.ethnicityfactsandfigures.digitalbeta.org.uk"

"Measure","Time","Time_type","Region","Local Authority","LA Code","Ethnicity","Ethnicity type","Gender","Gender_type","FSM","FSM_type","Value"
"% of pupils reaching the key stage 1 expected standard in writing by ethnicity, free school meal eligibility and gender","2015 - 2016","Year","England","All","E92000001","All","DFE","All","All/Boys/Girls","FSM","All/FSM/Non-FSM","50"
"% of pupils reaching the key stage 1 expected standard in writing by ethnicity, free school meal eligibility and gender","2015 - 2016","Year","England","All","E92000001","White","DFE","All","All/Boys/Girls","FSM","All/FSM/Non-FSM","46"
"% of pupils reaching the key stage 1 expected standard in writing by ethnicity, free school meal eligibility and gender","2015 - 2016","Year","England","All","E92000001","White - British","DFE","All","All/Boys/Girls","FSM","All/FSM/Non-FSM","47"
"% of pupils reaching the key stage 1 expected standard in writing by ethnicity, free school meal eligibility and gender","2015 - 2016","Year","England","All","E92000001","White - Irish","DFE","All","All/Boys/Girls","FSM","All/FSM/Non-FSM","44"
"% of pupils reaching the key stage 1 expected standard in writing by ethnicity, free school meal eligibility and gender","2015 - 2016","Year","England","All","E92000001","White - Traveller of Irish Heritage","DFE","All","All/Boys/Girls","FSM","All/FSM/Non-FSM","24"
"% of pupils reaching the key stage 1 expected standard in writing by ethnicity, free school meal eligibility and gender","2015 - 2016","Year","England","All","E92000001","White - Gypsy/Roma","DFE","All","All/Boys/Girls","FSM","All/FSM/Non-FSM","22"
"% of pupils reaching the key stage 1 expected standard in writing by ethnicity, free school meal eligibility and gender","2015 - 2016","Year","England","All","E92000001","White - Any other","DFE","All","All/Boys/Girls","FSM","All/FSM/Non-FSM","51"
"% of pupils reaching the key stage 1 expected standard in writing by ethnicity, free school meal eligibility and gender","2015 - 2016","Year","England","All","E92000001","Mixed","DFE","All","All/Boys/Girls","FSM","All/FSM/Non-FSM","56"
"% of pupils reaching the key stage 1 expected standard in writing by ethnicity, free school meal eligibility and gender","2015 - 2016","Year","England","All","E92000001","Mixed - White and Black Caribbean","DFE","All","All/Boys/Girls","FSM","All/FSM/Non-FSM","53"
"% of pupils reaching the key stage 1 expected standard in writing by ethnicity, free school meal eligibility and gender","2015 - 2016","Year","England","All","E92000001","Mixed - White and Black African","DFE","All","All/Boys/Girls","FSM","All/FSM/Non-FSM","58"
"% of pupils reaching the key stage 1 expected standard in writing by ethnicity, free school meal eligibility and gender","2015 - 2016","Year","England","All","E92000001","Mixed - White and Asian","DFE","All","All/Boys/Girls","FSM","All/FSM/Non-FSM","56"
"% of pupils reaching the key stage 1 expected standard in writing by ethnicity, free school meal eligibility and gender","2015 - 2016","Year","England","All","E92000001","Mixed - Any other","DFE","All","All/Boys/Girls","FSM","All/FSM/Non-FSM","57"
"% of pupils reaching the key stage 1 expected standard in writing by ethnicity, free school meal eligibility and gender","2015 - 2016","Year","England","All","E92000001","Asian","DFE","All","All/Boys/Girls","FSM","All/FSM/Non-FSM","59"
"% of pupils reaching the key stage 1 expected standard in writing by ethnicity, free school meal eligibility and gender","2015 - 2016","Year","England","All","E92000001","Asian - Indian","DFE","All","All/Boys/Girls","FSM","All/FSM/Non-FSM","65"
"% of pupils reaching the key stage 1 expected standard in writing by ethnicity, free school meal eligibility and gender","2015 - 2016","Year","England","All","E92000001","Asian - Pakistani","DFE","All","All/Boys/Girls","FSM","All/FSM/Non-FSM","56"
