"Title","Writing attainments for children aged 5 to 7 by ethnicity and gender"
"Location","England"
"Time period","2015/16"
"Data source","Key stage 1 statistics https://www.gov.uk/government/statistics/phonics-screening-check-and-key-stage-1-assessments-england-2016"
"Source","https://www.ethnicityfactsandfigures.digitalbeta.org.uk"

"Measure","Time","Time_type","Region","Local Authority","LA Code","Ethnicity","Ethnicity type","Gender","Gender_type","Value","% higher standard"
"% of pupils reaching the key stage 1 expected standard in writing by ethnicity, free school meal eligibility and gender","2015 - 2016","Year","England","All","E92000001","All","DFE","Boys","All/Boys/Girls","59","10"
"% of pupils reaching the key stage 1 expected standard in writing by ethnicity, free school meal eligibility and gender","2015 - 2016","Year","England","All","E92000001","White","DFE","Boys","All/Boys/Girls","58","9"
"% of pupils reaching the key stage 1 expected standard in writing by ethnicity, free school meal eligibility and gender","2015 - 2016","Year","England","All","E92000001","White - British","DFE","Boys","All/Boys/Girls","58","9"
"% of pupils reaching the key stage 1 expected standard in writing by ethnicity, free school meal eligibility and gender","2015 - 2016","Year","England","All","E92000001","White - Irish","DFE","Boys","All/Boys/Girls","61","12"
"% of pupils reaching the key stage 1 expected standard in writing by ethnicity, free school meal eligibility and gender","2015 - 2016","Year","England","All","E92000001","White - Traveller of Irish Heritage","DFE","Boys","All/Boys/Girls","20","1"
"% of pupils reaching the key stage 1 expected standard in writing by ethnicity, free school meal eligibility and gender","2015 - 2016","Year","England","All","E92000001","White - Gypsy/Roma","DFE","Boys","All/Boys/Girls","15","1"
"% of pupils reaching the key stage 1 expected standard in writing by ethnicity, free school meal eligibility and gender","2015 - 2016","Year","England","All","E92000001","White - Any other","DFE","Boys","All/Boys/Girls","55","9"
"% of pupils reaching the key stage 1 expected standard in writing by ethnicity, free school meal eligibility and gender","2015 - 2016","Year","England","All","E92000001","Mixed","DFE","Boys","All/Boys/Girls","61","12"
"% of pupils reaching the key stage 1 expected standard in writing by ethnicity, free school meal eligibility and gender","2015 - 2016","Year","England","All","E92000001","Mixed - White and Black Caribbean","DFE","Boys","All/Boys/Girls","54","7"
"% of pupils reaching the key stage 1 expected standard in writing by ethnicity, free school meal eligibility and gender","2015 - 2016","Year","England","All","E92000001","Mixed - White and Black African","DFE","Boys","All/Boys/Girls","62","12"
"% of pupils reaching the key stage 1 expected standard in writing by ethnicity, free school meal eligibility and gender","2015 - 2016","Year","England","All","E92000001","Mixed - White and Asian","DFE","Boys","All/Boys/Girls","66","15"
"% of pupils reaching the key stage 1 expected standard in writing by ethnicity, free school meal eligibility and gender","2015 - 2016","Year","England","All","E92000001","Mixed - Any other","DFE","Boys","All/Boys/Girls","62","12"
"% of pupils reaching the key stage 1 expected standard in writing by ethnicity, free school meal eligibility and gender","2015 - 2016","Year","England","All","E92000001","Asian","DFE","Boys","All/Boys/Girls","63","11"
"% of pupils reaching the key stage 1 expected standard in writing by ethnicity, free school meal eligibility and gender","2015 - 2016","Year","England","All","E92000001","Asian - Indian","DFE","Boys","All/Boys/Girls","72","17"
"% of pupils reaching the key stage 1 expected standard in writing by ethnicity, free school meal eligibility and gender","2015 - 2016","Year","England","All","E92000001","Asian - Pakistani","DFE","Boys","All/Boys/Girls","57","7"
"% of pupils reaching the key stage 1 expected standard in writing by ethnicity, free school meal eligibility and gender","2015 - 2016","Year","England","All","E92000001","Asian - Bangladeshi","DFE","Boys","All/Boys/Girls","63","10"
"% of pupils reaching the key stage 1 expected standard in writing by ethnicity, free school meal eligibility and gender","2015 - 2016","Year","England","All","E92000001","Asian - Any other","DFE","Boys","All/Boys/Girls","66","13"
"% of pupils reaching the key stage 1 expected standard in writing by ethnicity, free school meal eligibility and gender","2015 - 2016","Year","England","All","E92000001","Black","DFE","Boys","All/Boys/Girls","62","10"
"% of pupils reaching the key stage 1 expected standard in writing by ethnicity, free school meal eligibility and gender","2015 - 2016","Year","England","All","E92000001","Black - Caribbean","DFE","Boys","All/Boys/Girls","56","7"
"% of pupils reaching the key stage 1 expected standard in writing by ethnicity, free school meal eligibility and gender","2015 - 2016","Year","England","All","E92000001","Black - African","DFE","Boys","All/Boys/Girls","64","11"
"% of pupils reaching the key stage 1 expected standard in writing by ethnicity, free school meal eligibility and gender","2015 - 2016","Year","England","All","E92000001","Black - Any other","DFE","Boys","All/Boys/Girls","60","9"
"% of pupils reaching the key stage 1 expected standard in writing by ethnicity, free school meal eligibility and gender","2015 - 2016","Year","England","All","E92000001","Chinese","DFE","Boys","All/Boys/Girls","72","20"
"% of pupils reaching the key stage 1 expected standard in writing by ethnicity, free school meal eligibility and gender","2015 - 2016","Year","England","All","E92000001","Other","DFE","Boys","All/Boys/Girls","55","9"
"% of pupils reaching the key stage 1 expected standard in writing by ethnicity, free school meal eligibility and gender","2015 - 2016","Year","England","All","E92000001","All","DFE","Girls","All/Boys/Girls","73","17"
"% of pupils reaching the key stage 1 expected standard in writing by ethnicity, free school meal eligibility and gender","2015 - 2016","Year","England","All","E92000001","White","DFE","Girls","All/Boys/Girls","72","17"
"% of pupils reaching the key stage 1 expected standard in writing by ethnicity, free school meal eligibility and gender","2015 - 2016","Year","England","All","E92000001","White - British","DFE","Girls","All/Boys/Girls","73","17"
"% of pupils reaching the key stage 1 expected standard in writing by ethnicity, free school meal eligibility and gender","2015 - 2016","Year","England","All","E92000001","White - Irish","DFE","Girls","All/Boys/Girls","75","22"
"% of pupils reaching the key stage 1 expected standard in writing by ethnicity, free school meal eligibility and gender","2015 - 2016","Year","England","All","E92000001","White - Traveller of Irish Heritage","DFE","Girls","All/Boys/Girls","31","3"
"% of pupils reaching the key stage 1 expected standard in writing by ethnicity, free school meal eligibility and gender","2015 - 2016","Year","England","All","E92000001","White - Gypsy/Roma","DFE","Girls","All/Boys/Girls","26","1"
