"Title","Writing attainments for children aged 5 to 7 by ethnicity, Free School meals and gender"
"Location","England"
"Time period","2015/16"
"Data source","Key stage 1 statistics https://www.gov.uk/government/statistics/phonics-screening-check-and-key-stage-1-assessments-england-2016"
"Source","https://www.ethnicityfactsandfigures.digitalbeta.org.uk"

"Ethnicity","Ethnicity type","Gender","Gender_type","FSM","FSM_type","Value","Value_type","Denominators","Breakdown"
"All","DFE","Boys","All/Boys/Girls","FSM","All/FSM/Non-FSM","42","%","50,061","FSM Boys"
"White","DFE","Boys","All/Boys/Girls","FSM","All/FSM/Non-FSM","39","%","34,987","FSM Boys"
"White - British","DFE","Boys","All/Boys/Girls","FSM","All/FSM/Non-FSM","39","%","32,699","FSM Boys"
"White - Irish","DFE","Boys","All/Boys/Girls","FSM","All/FSM/Non-FSM","38","%","130","FSM Boys"
"White - Traveller of Irish Heritage","DFE","Boys","All/Boys/Girls","FSM","All/FSM/Non-FSM","20","%","197","FSM Boys"
"White - Gypsy/Roma","DFE","Boys","All/Boys/Girls","FSM","All/FSM/Non-FSM","15","%","368","FSM Boys"
"White - Any other","DFE","Boys","All/Boys/Girls","FSM","All/FSM/Non-FSM","45","%","1,593","FSM Boys"
"Mixed","DFE","Boys","All/Boys/Girls","FSM","All/FSM/Non-FSM","48","%","4,120","FSM Boys"
"Mixed - White and Black Caribbean","DFE","Boys","All/Boys/Girls","FSM","All/FSM/Non-FSM","44","%","1,501","FSM Boys"
"Mixed - White and Black African","DFE","Boys","All/Boys/Girls","FSM","All/FSM/Non-FSM","51","%","608","FSM Boys"
"Mixed - White and Asian","DFE","Boys","All/Boys/Girls","FSM","All/FSM/Non-FSM","48","%","682","FSM Boys"
"Mixed - Any other","DFE","Boys","All/Boys/Girls","FSM","All/FSM/Non-FSM","50","%","1,329","FSM Boys"
"Asian","DFE","Boys","All/Boys/Girls","FSM","All/FSM/Non-FSM","52","%","4,477","FSM Boys"
"Asian - Indian","DFE","Boys","All/Boys/Girls","FSM","All/FSM/Non-FSM","62","%","464","FSM Boys"
"Asian - Pakistani","DFE","Boys","All/Boys/Girls","FSM","All/FSM/Non-FSM","48","%","2,330","FSM Boys"
"Asian - Bangladeshi","DFE","Boys","All/Boys/Girls","FSM","All/FSM/Non-FSM","56","%","1,023","FSM Boys"
