"Title","Car and van ownership by ethnicity"
"Location","England"
"Time period","2002/06 to 2011/15"
"Data source","National Travel Survey https://www.gov.uk/government/collections/national-travel-survey-statistics"
"Source","https://www.ethnicityfactsandfigures.digitalbeta.org.uk"

"Measure","Time","Time_Type","Ethnicity","Ethnicity_Type","Value","Weighted_Sample_Individuals_with_no_car_access","Unweighted_Sample_Individuals_with_no_car_access","Weighted_Sample_Individuals","Unweighted_Sample_Individuals"
"Proportion of people with no access to a car","2002/06","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","19","14318","13712","73895","72513"
"Proportion of people with no access to a car","2002/06","5-year rolling average","Asian ","National Travel Survey broad ethnicity classification","23","791","714","3504","3298"
"Proportion of people with no access to a car","2002/06","5-year rolling average","Black ","National Travel Survey broad ethnicity classification","40","738","685","1833","1729"
"Proportion of people with no access to a car","2002/06","5-year rolling average","Mixed ","National Travel Survey broad ethnicity classification","39","252","231","655","611"
"Proportion of people with no access to a car","2002/06","5-year rolling average","Other ","National Travel Survey broad ethnicity classification","36","284","252","777","727"
"Proportion of people with no access to a car","2002/06","5-year rolling average","White","National Travel Survey broad ethnicity classification","18","12248","11826","67085","66109"
"Proportion of people with no access to a car","2003/07","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","19","14343","13685","74905","73369"
"Proportion of people with no access to a car","2003/07","5-year rolling average","Asian ","National Travel Survey broad ethnicity classification","23","833","752","3679","3468"
"Proportion of people with no access to a car","2003/07","5-year rolling average","Black ","National Travel Survey broad ethnicity classification","42","770","719","1847","1763"
"Proportion of people with no access to a car","2003/07","5-year rolling average","Mixed ","National Travel Survey broad ethnicity classification","38","280","255","737","684"
"Proportion of people with no access to a car","2003/07","5-year rolling average","Other ","National Travel Survey broad ethnicity classification","38","302","270","799","739"
"Proportion of people with no access to a car","2003/07","5-year rolling average","White","National Travel Survey broad ethnicity classification","18","12151","11683","67785","66657"
"Proportion of people with no access to a car","2004/08","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","19","14119","13429","74688","73101"
"Proportion of people with no access to a car","2004/08","5-year rolling average","Asian ","National Travel Survey broad ethnicity classification","22","817","715","3729","3454"
"Proportion of people with no access to a car","2004/08","5-year rolling average","Black ","National Travel Survey broad ethnicity classification","42","761","716","1828","1743"
"Proportion of people with no access to a car","2004/08","5-year rolling average","Mixed ","National Travel Survey broad ethnicity classification","35","268","238","760","691"
"Proportion of people with no access to a car","2004/08","5-year rolling average","Other ","National Travel Survey broad ethnicity classification","38","310","273","819","751"
"Proportion of people with no access to a car","2004/08","5-year rolling average","White","National Travel Survey broad ethnicity classification","18","11956","11481","67491","66401"
"Proportion of people with no access to a car","2005/09","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","19","14134","13416","75000","73671"
"Proportion of people with no access to a car","2005/09","5-year rolling average","Asian ","National Travel Survey broad ethnicity classification","22","871","770","3967","3704"
"Proportion of people with no access to a car","2005/09","5-year rolling average","Black ","National Travel Survey broad ethnicity classification","41","734","685","1792","1712"
"Proportion of people with no access to a car","2005/09","5-year rolling average","Mixed ","National Travel Survey broad ethnicity classification","35","278","252","800","740"
"Proportion of people with no access to a car","2005/09","5-year rolling average","Other ","National Travel Survey broad ethnicity classification","41","340","289","836","754"
"Proportion of people with no access to a car","2005/09","5-year rolling average","White","National Travel Survey broad ethnicity classification","18","11904","11414","67542","66697"
"Proportion of people with no access to a car","2006/10","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","19","14026","13237","73920","72739"
"Proportion of people with no access to a car","2006/10","5-year rolling average","Asian ","National Travel Survey broad ethnicity classification","22","916","800","4161","3850"
"Proportion of people with no access to a car","2006/10","5-year rolling average","Black ","National Travel Survey broad ethnicity classification","41","767","713","1888","1797"
"Proportion of people with no access to a car","2006/10","5-year rolling average","Mixed ","National Travel Survey broad ethnicity classification","33","273","247","834","770"
"Proportion of people with no access to a car","2006/10","5-year rolling average","Other ","National Travel Survey broad ethnicity classification","38","316","264","832","751"
"Proportion of people with no access to a car","2006/10","5-year rolling average","White","National Travel Survey broad ethnicity classification","18","11744","11205","66140","65503"
"Proportion of people with no access to a car","2007/11","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","19","13984","13191","72638","71650"
"Proportion of people with no access to a car","2007/11","5-year rolling average","Asian ","National Travel Survey broad ethnicity classification","24","1012","878","4231","3909"
"Proportion of people with no access to a car","2007/11","5-year rolling average","Black ","National Travel Survey broad ethnicity classification","42","843","791","1990","1905"
"Proportion of people with no access to a car","2007/11","5-year rolling average","Mixed ","National Travel Survey broad ethnicity classification","36","306","255","846","765"
"Proportion of people with no access to a car","2007/11","5-year rolling average","Other ","National Travel Survey broad ethnicity classification","38","337","284","875","799"
"Proportion of people with no access to a car","2007/11","5-year rolling average","White","National Travel Survey broad ethnicity classification","18","11477","10975","64629","64205"
"Proportion of people with no access to a car","2008/12","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","20","14134","13265","72232","71545"
