"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Geography","Value","Upper bound","Lower bound","Note","Sample size"
"Proportion of adults (16+) who have visited a heritage site in the last 12 months","2005/06","Year","White","White & other","England","71.9","72.6","71.2","Taking Part Survey","24,038"
"Proportion of adults (16+) who have visited a heritage site in the last 12 months","2005/06","Year","Other","White & other","England","50.7","52.5","48.8","Taking Part Survey","4,047"
"Proportion of adults (16+) who have visited a heritage site in the last 12 months","2005/06","Year","All","White & other","England","69.9","70.5","69.2","Taking Part Survey","28,117"
"Proportion of adults (16+) who have visited a heritage site in the last 12 months","2006/07","Year","White","White & other","England","71.6","72.4","70.8","Taking Part Survey","21,317"
"Proportion of adults (16+) who have visited a heritage site in the last 12 months","2006/07","Year","Other","White & other","England","48.3","50.7","45.8","Taking Part Survey","2,829"
"Proportion of adults (16+) who have visited a heritage site in the last 12 months","2006/07","Year","All","White & other","England","69.3","70.1","68.5","Taking Part Survey","24,174"
"Proportion of adults (16+) who have visited a heritage site in the last 12 months","2007/08","Year","White","White & other","England","73","73.9","72.2","Taking Part Survey","22,794"
"Proportion of adults (16+) who have visited a heritage site in the last 12 months","2007/08","Year","Other","White & other","England","54.1","56.7","51.4","Taking Part Survey","2,880"
"Proportion of adults (16+) who have visited a heritage site in the last 12 months","2007/08","Year","All","White & other","England","71.1","71.9","70.3","Taking Part Survey","25,720"
"Proportion of adults (16+) who have visited a heritage site in the last 12 months","2008/09","Year","White","White & other","England","70.5","71.7","69.3","Taking Part Survey","12,979"
"Proportion of adults (16+) who have visited a heritage site in the last 12 months","2008/09","Year","Other","White & other","England","50.2","53.7","46.6","Taking Part Survey","1,451"
"Proportion of adults (16+) who have visited a heritage site in the last 12 months","2008/09","Year","All","White & other","England","68.5","69.5","67.5","Taking Part Survey","14,452"
"Proportion of adults (16+) who have visited a heritage site in the last 12 months","2009/10","Year","White","White & other","England","71.5","73.8","69.1","Taking Part Survey","5,455"
"Proportion of adults (16+) who have visited a heritage site in the last 12 months","2009/10","Year","Other","White & other","England","50.5","58","43","Taking Part Survey","630"
"Proportion of adults (16+) who have visited a heritage site in the last 12 months","2009/10","Year","All","White & other","England","70.4","72.8","68","Taking Part Survey","6,097"
"Proportion of adults (16+) who have visited a heritage site in the last 12 months","2010/11","Year","White","White & other","England","72.7","73.8","71.6","Taking Part Survey","12,617"
"Proportion of adults (16+) who have visited a heritage site in the last 12 months","2010/11","Year","Other","White & other","England","54.3","57.5","51","Taking Part Survey","1,457"
"Proportion of adults (16+) who have visited a heritage site in the last 12 months","2010/11","Year","All","White & other","England","70.7","71.6","69.7","Taking Part Survey","14,102"
"Proportion of adults (16+) who have visited a heritage site in the last 12 months","2011/12","Year","White","White & other","England","75.9","77.1","74.7","Taking Part Survey","8,301"
"Proportion of adults (16+) who have visited a heritage site in the last 12 months","2011/12","Year","Other","White & other","England","61.4","66.2","56.6","Taking Part Survey","871"
"Proportion of adults (16+) who have visited a heritage site in the last 12 months","2011/12","Year","All","White & other","England","74.3","75.4","73.1","Taking Part Survey","9,188"
"Proportion of adults (16+) who have visited a heritage site in the last 12 months","2012/13","Year","White","White & other","England","74.6","76","73.2","Taking Part Survey","9,054"
"Proportion of adults (16+) who have visited a heritage site in the last 12 months","2012/13","Year","Other","White & other","England","57.2","62.1","52.4","Taking Part Survey","775"
"Proportion of adults (16+) who have visited a heritage site in the last 12 months","2012/13","Year","All","White & other","England","72.7","73.9","71.5","Taking Part Survey","9,838"
"Proportion of adults (16+) who have visited a heritage site in the last 12 months","2013/14","Year","White","White & other","England","74.1","75.4","72.8","Taking Part Survey","9,545"
"Proportion of adults (16+) who have visited a heritage site in the last 12 months","2013/14","Year","Other","White & other","England","59.8","64.9","54.7","Taking Part Survey","798"
"Proportion of adults (16+) who have visited a heritage site in the last 12 months","2013/14","Year","All","White & other","England","72.5","73.7","71.4","Taking Part Survey","10,355"
"Proportion of adults (16+) who have visited a heritage site in the last 12 months","2014/15","Year","White","White & other","England","74.7","76.2","73.2","Taking Part Survey","9,050"
"Proportion of adults (16+) who have visited a heritage site in the last 12 months","2014/15","Year","Other","White & other","England","56.3","61.5","51","Taking Part Survey","757"
"Proportion of adults (16+) who have visited a heritage site in the last 12 months","2014/15","Year","All","White & other","England","72.6","73.9","71.3","Taking Part Survey","9,817"
"Proportion of adults (16+) who have visited a heritage site in the last 12 months","2015/16","Year","White","White & other","England","75.4","76.7","74","Taking Part Survey","9,312"
"Proportion of adults (16+) who have visited a heritage site in the last 12 months","2015/16","Year","Other","White & other","England","57.3","62.4","52.2","Taking Part Survey","850"
"Proportion of adults (16+) who have visited a heritage site in the last 12 months","2015/16","Year","All","White & other","England","73.2","74.5","71.9","Taking Part Survey","10,171"
"Proportion of adults (16+) who have visited a heritage site in the last 12 months","2016/17","Year","White","White & other","England","76.7","78.1","75.2","Taking Part Survey","8,473"
"Proportion of adults (16+) who have visited a heritage site in the last 12 months","2016/17","Year","Other","White & other","England","58.1","62.2","54","Taking Part Survey","862"
"Proportion of adults (16+) who have visited a heritage site in the last 12 months","2016/17","Year","All","White & other","England","74.2","75.7","72.7","Taking Part Survey","9,352"
"Proportion of adults (16+) who have visited a heritage site in the last 12 months","2017/18","Year","White","White, Mixed, Asian, Black and Other","England","76","77.5","74.4","Taking Part Survey","6,854"
"Proportion of adults (16+) who have visited a heritage site in the last 12 months","2017/18","Year","Mixed","White, Mixed, Asian, Black and Other","England","74.6","83.5","65.7","Taking Part Survey","144"
"Proportion of adults (16+) who have visited a heritage site in the last 12 months","2017/18","Year","Asian","White, Mixed, Asian, Black and Other","England","54.4","60.8","48","Taking Part Survey","397"
"Proportion of adults (16+) who have visited a heritage site in the last 12 months","2017/18","Year","Black","White, Mixed, Asian, Black and Other","England","38.6","48","29.3","Taking Part Survey","203"
"Proportion of adults (16+) who have visited a heritage site in the last 12 months","2017/18","Year","Other","White, Mixed, Asian, Black and Other","England","56.6","70.1","43.2","Taking Part Survey","79"
"Proportion of adults (16+) who have visited a heritage site in the last 12 months","2017/18","Year","All","White, Mixed, Asian, Black and Other","England","72.8","74.5","71.1","Taking Part Survey","7,715"
"Proportion of adults (16+) who have visited a heritage site in the last 12 months","2005/06","Year","White","White, Asian, Black and Other","England","71.9","72.7","71.2","Taking Part Survey","24,038"
"Proportion of adults (16+) who have visited a heritage site in the last 12 months","2005/06","Year","Asian","White, Asian, Black and Other","England","51.1","53.9","48.3","Taking Part Survey","2,080"
"Proportion of adults (16+) who have visited a heritage site in the last 12 months","2005/06","Year","Black","White, Asian, Black and Other","England","41.5","44.9","38.1","Taking Part Survey","1,322"
"Proportion of adults (16+) who have visited a heritage site in the last 12 months","2005/06","Year","Other","White, Asian, Black and Other","England","59.9","64.8","55","Taking Part Survey","645"
"Proportion of adults (16+) who have visited a heritage site in the last 12 months","2005/06","Year","All","White, Asian, Black and Other","England","69.9","70.5","69.2","Taking Part Survey","28,117"
"Proportion of adults (16+) who have visited a heritage site in the last 12 months","2010/11","Year","White","White, Asian, Black and Other","England","72.7","73.7","71.7","Taking Part Survey","12,617"
"Proportion of adults (16+) who have visited a heritage site in the last 12 months","2010/11","Year","Asian","White, Asian, Black and Other","England","55.5","59.9","51.1","Taking Part Survey","796"
"Proportion of adults (16+) who have visited a heritage site in the last 12 months","2010/11","Year","Black","White, Asian, Black and Other","England","44.8","50.8","38.8","Taking Part Survey","423"
"Proportion of adults (16+) who have visited a heritage site in the last 12 months","2010/11","Year","Other","White, Asian, Black and Other","England","64.1","71.9","56.4","Taking Part Survey","238"
"Proportion of adults (16+) who have visited a heritage site in the last 12 months","2010/11","Year","All","White, Asian, Black and Other","England","70.7","71.6","69.7","Taking Part Survey","14,102"
"Proportion of adults (16+) who have visited a heritage site in the last 12 months","2015/16","Year","White","White, Asian, Black and Other","England","75.4","76.7","74.1","Taking Part Survey","9,312"
"Proportion of adults (16+) who have visited a heritage site in the last 12 months","2015/16","Year","Asian","White, Asian, Black and Other","England","60","66.8","53.2","Taking Part Survey","434"
"Proportion of adults (16+) who have visited a heritage site in the last 12 months","2015/16","Year","Black","White, Asian, Black and Other","England","51.8","61.1","42.5","Taking Part Survey","242"
"Proportion of adults (16+) who have visited a heritage site in the last 12 months","2015/16","Year","Other","White, Asian, Black and Other","England","57.4","68.3","46.6","Taking Part Survey","174"
"Proportion of adults (16+) who have visited a heritage site in the last 12 months","2015/16","Year","All","White, Asian, Black and Other","England","73.2","74.5","71.9","Taking Part Survey","10,171"
