"Title","Home ownership by ethnicity and age"
"Location","England"
"Time period","2014/15 and 2015/16 (combined)"
"Data source","English Housing Survey https://www.gov.uk/government/collections/english-housing-survey"
"Source","https://www.ethnicityfactsandfigures.digitalbeta.org.uk"

"Ethnicity","Age","Denominator","Numerator","Value"
"White British"," 16 - 24 yrs old"," 547,604 "," 61,204 ","11"
"White British"," 25 - 34 yrs old"," 2,400,150 "," 1,037,801 ","43"
"White British"," 35 - 44 yrs old"," 2,909,500 "," 1,839,610 ","63"
"White British"," 45 - 54 yrs old"," 3,746,787 "," 2,689,665 ","72"
"White British"," 55 - 64 yrs old"," 3,240,797 "," 2,449,380 ","76"
"White British"," 65 yrs old or over"," 5,963,859 "," 4,655,757 ","78"
"All other ethnic groups"," 16 - 24 yrs old"," 209,064 "," 9,175 ","4"
"All other ethnic groups"," 25 - 34 yrs old"," 888,814 "," 194,540 ","22"
"All other ethnic groups"," 35 - 44 yrs old"," 1,043,931 "," 435,264 ","42"
"All other ethnic groups"," 45 - 54 yrs old"," 795,069 "," 387,692 ","49"
"All other ethnic groups"," 55 - 64 yrs old"," 426,164 "," 250,217 ","59"
"All other ethnic groups"," 65 yrs old or over"," 445,322 "," 296,105 ","66"
