"Title","Rates of criminal reoffending"
"Time period","2000 to 2015"
"Location","England and Wales"
"Source","NOMS Offender Equalities Statistics Bulletin"
"Department","Ministry of Justice"
"Last update","24 November 2016"
"
"
"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Geography_code","Geography_name","Geography_type","Age group","Age group_type","Value","Denominator","Numerator"
"Percentage of offenders who reoffend",2004,"Year","Asian","White/Black/Asian/Other/Not Recorded","K04000001","England and Wales","Country","All","All",22.2,29193,6484
"Percentage of offenders who reoffend",2004,"Year","Black","White/Black/Asian/Other/Not Recorded","K04000001","England and Wales","Country","All","All",31.1,47554,14807
"Percentage of offenders who reoffend",2004,"Year","Not Recorded","White/Black/Asian/Other/Not Recorded","K04000001","England and Wales","Country","All","All",7.5,22980,1717
"Percentage of offenders who reoffend",2004,"Year","Other","White/Black/Asian/Other/Not Recorded","K04000001","England and Wales","Country","All","All",19.5,6512,1272
"Percentage of offenders who reoffend",2004,"Year","White","White/Black/Asian/Other/Not Recorded","K04000001","England and Wales","Country","All","All",28.1,553933,155777
"Percentage of offenders who reoffend",2005,"Year","Asian","White/Black/Asian/Other/Not Recorded","K04000001","England and Wales","Country","All","All",22.8,31510,7174
"Percentage of offenders who reoffend",2005,"Year","Black","White/Black/Asian/Other/Not Recorded","K04000001","England and Wales","Country","All","All",31.5,50260,15854
"Percentage of offenders who reoffend",2005,"Year","Not Recorded","White/Black/Asian/Other/Not Recorded","K04000001","England and Wales","Country","All","All",7,28006,1965
"Percentage of offenders who reoffend",2005,"Year","Other","White/Black/Asian/Other/Not Recorded","K04000001","England and Wales","Country","All","All",20.4,7091,1447
"Percentage of offenders who reoffend",2005,"Year","White","White/Black/Asian/Other/Not Recorded","K04000001","England and Wales","Country","All","All",27.8,576417,160235
"Percentage of offenders who reoffend",2006,"Year","Asian","White/Black/Asian/Other/Not Recorded","K04000001","England and Wales","Country","All","All",22.6,34383,7757
"Percentage of offenders who reoffend",2006,"Year","Black","White/Black/Asian/Other/Not Recorded","K04000001","England and Wales","Country","All","All",31.1,54751,17028
"Percentage of offenders who reoffend",2006,"Year","Not Recorded","White/Black/Asian/Other/Not Recorded","K04000001","England and Wales","Country","All","All",6.5,33820,2192
"Percentage of offenders who reoffend",2006,"Year","Other","White/Black/Asian/Other/Not Recorded","K04000001","England and Wales","Country","All","All",20.3,7344,1494
"Percentage of offenders who reoffend",2006,"Year","White","White/Black/Asian/Other/Not Recorded","K04000001","England and Wales","Country","All","All",27.7,604969,167371
"Percentage of offenders who reoffend",2007,"Year","Asian","White/Black/Asian/Other/Not Recorded","K04000001","England and Wales","Country","All","All",22.2,36264,8041
"Percentage of offenders who reoffend",2007,"Year","Black","White/Black/Asian/Other/Not Recorded","K04000001","England and Wales","Country","All","All",30.8,57684,17792
"Percentage of offenders who reoffend",2007,"Year","Not Recorded","White/Black/Asian/Other/Not Recorded","K04000001","England and Wales","Country","All","All",6.8,29422,1989
"Percentage of offenders who reoffend",2007,"Year","Other","White/Black/Asian/Other/Not Recorded","K04000001","England and Wales","Country","All","All",20.5,7392,1513
"Percentage of offenders who reoffend",2007,"Year","White","White/Black/Asian/Other/Not Recorded","K04000001","England and Wales","Country","All","All",27.3,626903,171164
"Percentage of offenders who reoffend",2008,"Year","Asian","White/Black/Asian/Other/Not Recorded","K04000001","England and Wales","Country","All","All",21.7,37605,8166
"Percentage of offenders who reoffend",2008,"Year","Black","White/Black/Asian/Other/Not Recorded","K04000001","England and Wales","Country","All","All",30.1,59094,17812
