"Title","Percentage of offenders who reoffend by ethnicity"
"Location","England and Wales"
"Time period","2004-2014"
"Data source","NOMS Offender Equalities Statistics Bulletin"
"Data source link","https://www.gov.uk/government/statistics/noms-annual-offender-equalities-report-2015-to-2016"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","24 November 2016"

"Standard Ethnicity","Time","%","Number"
"Asian","2004","22.2","6,484"
"Asian","2005","22.8","7,174"
"Asian","2006","22.6","7,757"
"Asian","2007","22.2","8,041"
"Asian","2008","21.7","8,166"
"Asian","2009","21.4","7,865"
"Asian","2010","21.3","7,470"
"Asian","2011","21.3","6,985"
"Asian","2012","20.6","6,247"
"Asian","2013","20.6","5,971"
"Asian","2014","20.4","5,539"
"Black","2004","31.1","14,807"
"Black","2005","31.5","15,854"
"Black","2006","31.1","17,028"
"Black","2007","30.8","17,792"
"Black","2008","30.1","17,812"
"Black","2009","29.3","16,900"
"Black","2010","29.8","16,219"
"Black","2011","30.0","15,395"
"Black","2012","29.7","13,914"
"Black","2013","29.8","13,200"
"Black","2014","29.1","12,391"
"White","2004","28.1","155,777"
"White","2005","27.8","160,235"
"White","2006","27.7","167,371"
"White","2007","27.3","171,164"
"White","2008","27.6","166,095"
"White","2009","26.9","153,530"
"White","2010","27.3","144,286"
"White","2011","27.5","136,894"
"White","2012","26.8","121,584"
"White","2013","27.4","114,413"
"White","2014","26.6","104,489"
"Other","2004","19.5","1,272"
"Other","2005","20.4","1,447"
"Other","2006","20.3","1,494"
"Other","2007","20.5","1,513"
"Other","2008","18.7","1,498"
"Other","2009","18.4","1,518"
"Other","2010","18.1","1,479"
"Other","2011","17.8","1,349"
"Other","2012","17.9","1,231"
"Other","2013","19.3","1,221"
"Other","2014","18.2","1,090"
"Unknown","2004","7.5","1,717"
"Unknown","2005","7.0","1,965"
"Unknown","2006","6.5","2,192"
"Unknown","2007","6.8","1,989"
"Unknown","2008","8.9","1,684"
"Unknown","2009","8.6","1,433"
"Unknown","2010","8.9","1,389"
"Unknown","2011","7.9","1,359"
"Unknown","2012","7.4","1,233"
"Unknown","2013","7.2","1,198"
"Unknown","2014","6.0","1,156"
