"FSM","Ethnicity","%","Pupils"
"FSM","All","39","72,528"
"FSM","Asian","54","9,018"
"FSM","Bangladeshi","61","2,461"
"FSM","Indian","62","1,042"
"FSM","Pakistani","47","4,536"
"FSM","Asian other","58","979"
"FSM","Black","49","6,544"
"FSM","Black African","53","4,086"
"FSM","Black Caribbean","39","1,689"
"FSM","Black other","47","769"
"FSM","Chinese","79","130"
"FSM","Mixed","43","4,240"
"FSM","Mixed White/Asian","48","732"
"FSM","Mixed White/Black African","48","529"
"FSM","Mixed White/Black Caribbean","37","1,620"
"FSM","Mixed other","45","1,359"
"FSM","White","34","49,595"
"FSM","White British","34","46,438"
"FSM","White Irish","40","213"
"FSM","White Irish Traveller","16","73"
"FSM","White Gypsy/Roma","9","330"
"FSM","White other","46","2,541"
"FSM","Other","52","2,024"
"FSM","Unknown","35","977"
"Non-FSM","All","67","468,161"
"Non-FSM","Asian","70","42,200"
"Non-FSM","Bangladeshi","70","5,858"
"Non-FSM","Indian","79","13,004"
"Non-FSM","Pakistani","61","15,898"
"Non-FSM","Asian other","75","7,440"
"Non-FSM","Black","62","21,380"
"Non-FSM","Black African","66","13,263"
"Non-FSM","Black Caribbean","54","5,527"
"Non-FSM","Black other","58","2,590"
"Non-FSM","Chinese","83","1,896"
"Non-FSM","Mixed","67","18,628"
"Non-FSM","Mixed White/Asian","76","4,357"
"Non-FSM","Mixed White/Black African","65","2,158"
"Non-FSM","Mixed White/Black Caribbean","58","5,540"
"Non-FSM","Mixed other","69","6,573"
"Non-FSM","White","67","373,168"
"Non-FSM","White British","67","348,878"
"Non-FSM","White Irish","77","1,561"
"Non-FSM","White Irish Traveller","29","49"
"Non-FSM","White Gypsy/Roma","11","777"
"Non-FSM","White other","60","21,903"
"Non-FSM","Other","65","6,095"
"Non-FSM","Unknown","56","4,794"
