"Title","A* to C in English and Maths GCSE by ethnicity, religion of school and gender"
"Location","England"
"Time period","2015/16"
"Data source","Key stage 4 statistics"
"Data source link","https://www.gov.uk/government/statistics/revised-gcse-and-equivalent-results-in-england-2015-to-2016"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","19 January 2017 (revised)"

"Standard Ethnicity","Religion of school","All","Boys","Girls"
"All","All state-funded mainstream schools","64","61","68"
"All","Church of England schools","66","63","70"
"All","Jewish schools","82","82","82"
"All","Muslim schools","82","85","81"
"All","No religious character","64","60","67"
"All","Other Christian faith schools","64","61","66"
"All","Roman Catholic schools","69","65","72"
"All","Sikh school","72","64","81"
"Asian","All state-funded mainstream schools","68","65","71"
"Asian","Church of England schools","71","68","74"
"Asian","Jewish schools","87","!","!"
"Asian","Muslim schools","83","86","82"
"Asian","No religious character","67","64","70"
"Asian","Other Christian faith schools","80","79","81"
"Asian","Roman Catholic schools","73","68","79"
"Asian","Sikh school","!","!","!"
"Black","All state-funded mainstream schools","60","55","66"
"Black","Church of England schools","62","56","67"
"Black","Jewish schools","69","!","!"
"Black","Muslim schools","71","70","71"
"Black","No religious character","58","52","63"
"Black","Other Christian faith schools","63","59","69"
"Black","Roman Catholic schools","68","63","72"
"Black","Sikh school","!","!","!"
"Chinese","All state-funded mainstream schools","84","79","89"
"Chinese","Church of England schools","88","88","88"
"Chinese","Jewish schools","!","!","!"
"Chinese","Muslim schools","N/A","N/A","N/A"
"Chinese","No religious character","84","79","89"
"Chinese","Other Christian faith schools","85","!","!"
"Chinese","Roman Catholic schools","80","72","85"
"Chinese","Sikh school","!","!","!"
"Mixed","All state-funded mainstream schools","64","60","67"
"Mixed","Church of England schools","66","65","68"
"Mixed","Jewish schools","78","75","80"
"Mixed","Muslim schools","44","N/A","!"
"Mixed","No religious character","63","59","67"
"Mixed","Other Christian faith schools","69","70","67"
"Mixed","Roman Catholic schools","68","64","72"
"Mixed","Sikh school","!","!","!"
"White","All state-funded mainstream schools","64","61","68"
"White","Church of England schools","66","63","69"
"White","Jewish schools","82","83","80"
"White","Muslim schools","!","N/A","!"
"White","No religious character","63","60","67"
"White","Other Christian faith schools","62","59","65"
"White","Roman Catholic schools","68","65","71"
"White","Sikh school","!","N/A","!"
