"Title","Police workforce"
"Location","England and Wales"
"Time period","2007 to 2016"
"Data source","Home Office"
"Data source link","https://www.gov.uk/government/statistics/police-workforce-england-and-wales-31-march-2016"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","2018-02-28"
"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Gender","Gender_type","Rank","Rank_type","Geography","Geography_type","FTE","Headcount","Population by ethnicity, gender, and PFA (based on 2011 Census)","Rate per 100,000 population by ethnicity, gender, and PFA (Based on FTE except Special Constables)","Proportion of workforce of this ethnicity in this aggregated rank, in this year, and this PFA (excludes unreported)","Proportion of population of this ethnicity in this PFA (based on 2011 Census)"
"Rate per population","2013","As at 31/3","All","All","All","All","All","All","All - including BTP","Police Force Area","218,074","246,392","56,075,912","388.89","100%","100%"
"Rate per population","2013","As at 31/3","Asian","ONS 2001 5+1","All","All","All","All","All - including BTP","Police Force Area","5,381","6,599","3,820,390","140.84","3%","7%"
"Rate per population","2013","As at 31/3","Asian","ONS 2001 5+1","All","All","Chief Inspector","Detailed rank data","All - including BTP","Police Force Area","24","24","3,820,390","0.63","N/A","7%"
"Rate per population","2013","As at 31/3","Asian","ONS 2001 5+1","All","All","Chief Inspector","Detailed rank data","Avon & Somerset","Police Force Area","0","0","33,005","0","N/A","2%"
"Rate per population","2013","As at 31/3","Asian","ONS 2001 5+1","All","All","Chief Inspector","Detailed rank data","Bedfordshire","Police Force Area","0","0","81,480","0","N/A","13%"
"Rate per population","2013","As at 31/3","Asian","ONS 2001 5+1","All","All","Chief Inspector","Detailed rank data","British Transport Police","Police Force Area","0","0","N/A","N/A","N/A","N/A"
"Rate per population","2013","As at 31/3","Asian","ONS 2001 5+1","All","All","Chief Inspector","Detailed rank data","Cambridgeshire","Police Force Area","0","0","39,535","0","N/A","5%"
"Rate per population","2013","As at 31/3","Asian","ONS 2001 5+1","All","All","Chief Inspector","Detailed rank data","Cheshire","Police Force Area","0","0","12,794","0","N/A","1%"
"Rate per population","2013","As at 31/3","Asian","ONS 2001 5+1","All","All","Chief Inspector","Detailed rank data","Cleveland","Police Force Area","2","2","17,419","11.48","N/A","3%"
"Rate per population","2013","As at 31/3","Asian","ONS 2001 5+1","All","All","Chief Inspector","Detailed rank data","Cumbria","Police Force Area","0","0","2,913","0","N/A","1%"
"Rate per population","2013","As at 31/3","Asian","ONS 2001 5+1","All","All","Chief Inspector","Detailed rank data","Derbyshire","Police Force Area","0","0","36,871","0","N/A","4%"
"Rate per population","2013","As at 31/3","Asian","ONS 2001 5+1","All","All","Chief Inspector","Detailed rank data","Devon & Cornwall","Police Force Area","0","0","11,694","0","N/A","1%"
"Rate per population","2013","As at 31/3","Asian","ONS 2001 5+1","All","All","Chief Inspector","Detailed rank data","Dorset","Police Force Area","0","0","10,694","0","N/A","1%"
"Rate per population","2013","As at 31/3","Asian","ONS 2001 5+1","All","All","Chief Inspector","Detailed rank data","Durham","Police Force Area","0","0","5,114","0","N/A","1%"
"Rate per population","2013","As at 31/3","Asian","ONS 2001 5+1","All","All","Chief Inspector","Detailed rank data","Dyfed-Powys","Police Force Area","0","0","4,274","0","N/A","1%"
"Rate per population","2013","As at 31/3","Asian","ONS 2001 5+1","All","All","Chief Inspector","Detailed rank data","Essex","Police Force Area","0","0","38,954","0","N/A","2%"
"Rate per population","2013","As at 31/3","Asian","ONS 2001 5+1","All","All","Chief Inspector","Detailed rank data","Gloucestershire","Police Force Area","0","0","10,522","0","N/A","2%"
"Rate per population","2013","As at 31/3","Asian","ONS 2001 5+1","All","All","Chief Inspector","Detailed rank data","Greater Manchester","Police Force Area","3","3","246,094","1.22","N/A","9%"
"Rate per population","2013","As at 31/3","Asian","ONS 2001 5+1","All","All","Chief Inspector","Detailed rank data","Gwent","Police Force Area","0","0","10,076","0","N/A","2%"
"Rate per population","2013","As at 31/3","Asian","ONS 2001 5+1","All","All","Chief Inspector","Detailed rank data","Hampshire","Police Force Area","0","0","57,352","0","N/A","3%"
"Rate per population","2013","As at 31/3","Asian","ONS 2001 5+1","All","All","Chief Inspector","Detailed rank data","Hertfordshire","Police Force Area","0","0","64,119","0","N/A","6%"
"Rate per population","2013","As at 31/3","Asian","ONS 2001 5+1","All","All","Chief Inspector","Detailed rank data","Humberside","Police Force Area","0","0","12,191","0","N/A","1%"
"Rate per population","2013","As at 31/3","Asian","ONS 2001 5+1","All","All","Chief Inspector","Detailed rank data","Kent","Police Force Area","0","0","54,186","0","N/A","3%"
"Rate per population","2013","As at 31/3","Asian","ONS 2001 5+1","All","All","Chief Inspector","Detailed rank data","Lancashire","Police Force Area","2","2","108,784","1.84","N/A","7%"
"Rate per population","2013","As at 31/3","Asian","ONS 2001 5+1","All","All","Chief Inspector","Detailed rank data","Leicestershire","Police Force Area","0","0","155,740","0","N/A","15%"
