"Title","Police officers by ethnicity over time"
"Location","England and Wales"
"Time period","2007 to 2016"
"Data source","Police workforce, England and Wales, 31 March 2016"
"Data source link","https://www.gov.uk/government/statistics/police-workforce-england-and-wales-31-march-2016"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated",""

"","Asian","","Black","","Mixed","","White","","Other",""
"Year","% police officers","% population","% police officers","% population","% police officers","% population","% police officers","% population","% police officers","% population"
"2007","1.5","6.8","1.0","3.3","1.0","2.2","96.1","86.0","0.5","1.7"
"2008","1.6","6.8","1.0","3.3","1.1","2.2","95.9","86.0","0.5","1.7"
"2009","1.7","6.8","1.0","3.3","1.2","2.2","95.6","86.0","0.5","1.7"
"2010","1.8","6.8","1.0","3.3","1.3","2.2","95.3","86.0","0.5","1.7"
"2011","1.9","6.8","1.0","3.3","1.3","2.2","95.2","86.0","0.5","1.7"
"2012","2.0","6.8","1.1","3.3","1.4","2.2","95.0","86.0","0.6","1.7"
"2013","2.0","6.8","1.1","3.3","1.5","2.2","94.9","86.0","0.6","1.7"
"2014","2.1","6.8","1.1","3.3","1.5","2.2","94.7","86.0","0.6","1.7"
"2015","2.2","6.8","1.1","3.3","1.6","2.2","94.4","86.0","0.6","1.7"
"2016","2.4","6.8","1.2","3.3","1.7","2.2","94.1","86.0","0.7","1.7"
