"Title","Police officers by ethnicity over time"
"Location","England and Wales"
"Time period","2007 to 2016"
"Data source","Police workforce, England and Wales, 31 March 2016"
"Data source link","https://www.gov.uk/government/statistics/police-workforce-england-and-wales-31-march-2016"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated",""

"Standard Ethnicity","Year","% police officers","% population"
"Asian","2007","1.5","6.8"
"Asian","2008","1.6","6.8"
"Asian","2009","1.7","6.8"
"Asian","2010","1.8","6.8"
"Asian","2011","1.9","6.8"
"Asian","2012","2.0","6.8"
"Asian","2013","2.0","6.8"
"Asian","2014","2.1","6.8"
"Asian","2015","2.2","6.8"
"Asian","2016","2.4","6.8"
"Black","2007","1.0","3.3"
"Black","2008","1.0","3.3"
"Black","2009","1.0","3.3"
"Black","2010","1.0","3.3"
"Black","2011","1.0","3.3"
"Black","2012","1.1","3.3"
"Black","2013","1.1","3.3"
"Black","2014","1.1","3.3"
"Black","2015","1.1","3.3"
"Black","2016","1.2","3.3"
"Mixed","2007","1.0","2.2"
"Mixed","2008","1.1","2.2"
"Mixed","2009","1.2","2.2"
"Mixed","2010","1.3","2.2"
"Mixed","2011","1.3","2.2"
"Mixed","2012","1.4","2.2"
"Mixed","2013","1.5","2.2"
"Mixed","2014","1.5","2.2"
"Mixed","2015","1.6","2.2"
"Mixed","2016","1.7","2.2"
"White","2007","96.1","86.0"
"White","2008","95.9","86.0"
"White","2009","95.6","86.0"
"White","2010","95.3","86.0"
"White","2011","95.2","86.0"
"White","2012","95.0","86.0"
"White","2013","94.9","86.0"
"White","2014","94.7","86.0"
"White","2015","94.4","86.0"
"White","2016","94.1","86.0"
"Other","2007","0.5","1.7"
"Other","2008","0.5","1.7"
"Other","2009","0.5","1.7"
"Other","2010","0.5","1.7"
"Other","2011","0.5","1.7"
"Other","2012","0.6","1.7"
"Other","2013","0.6","1.7"
"Other","2014","0.6","1.7"
"Other","2015","0.6","1.7"
"Other","2016","0.7","1.7"
