"Ethnicity","Expected standard","Higher standard"
"All","53","5"
"Asian","55","6"
"Bangladeshi","56","5"
"Indian","65","10"
"Pakistani","47","3"
"Asian other","61","9"
"Black","51","4"
"Black African","54","5"
"Black Caribbean","43","2"
"Black other","48","3"
"Chinese","71","18"
"Mixed","56","7"
"Mixed White/Asian","63","10"
"Mixed White/Black African","54","5"
"Mixed White/Black Caribbean","48","3"
"Mixed other","57","8"
"White","53","5"
"White British","54","5"
"White Irish","62","10"
"White Irish Traveller","19","!"
"White Gypsy/Roma","13","!"
"White other","48","5"
"Other","50","5"
