"Title","Reading, writing and maths attainment for children aged 7 to 11 by ethnicity and eligibility for free school meals (FSM)"
"Location","England"
"Time period","2015/16"
"Data source","Key stage 2 statistics"
"Data source link","https://www.gov.uk/government/statistics/national-curriculum-assessments-key-stage-2-2016-revised"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","01/09/2016 (provisional)"

"FSM","Ethnicity","%"
"FSM","All","35"
"FSM","Asian","44"
"FSM","Bangladeshi","52"
"FSM","Indian","47"
"FSM","Pakistani","39"
"FSM","Asian other","49"
"FSM","Black","42"
"FSM","Black African","46"
"FSM","Black Caribbean","35"
"FSM","Black other","40"
"FSM","Chinese","67"
"FSM","Mixed","39"
"FSM","Mixed White/Asian","42"
"FSM","Mixed White/Black African","42"
"FSM","Mixed White/Black Caribbean","34"
"FSM","Mixed other","41"
"FSM","White","32"
"FSM","White British","32"
"FSM","White Irish","37"
"FSM","White Irish Traveller","17"
"FSM","White Gypsy/Roma","12"
"FSM","White other","38"
"FSM","Other","42"
"Non-FSM","All","57"
"Non-FSM","Asian","57"
"Non-FSM","Bangladeshi","58"
"Non-FSM","Indian","66"
"Non-FSM","Pakistani","49"
"Non-FSM","Asian other","63"
"Non-FSM","Black","54"
"Non-FSM","Black African","57"
"Non-FSM","Black Caribbean","46"
"Non-FSM","Black other","51"
"Non-FSM","Chinese","71"
"Non-FSM","Mixed","60"
"Non-FSM","Mixed White/Asian","68"
"Non-FSM","Mixed White/Black African","58"
"Non-FSM","Mixed White/Black Caribbean","53"
"Non-FSM","Mixed other","61"
"Non-FSM","White","57"
"Non-FSM","White British","58"
"Non-FSM","White Irish","66"
"Non-FSM","White Irish Traveller","24"
"Non-FSM","White Gypsy/Roma","13"
"Non-FSM","White other","49"
"Non-FSM","Other","52"
