"Gender","Ethnicity","Expected standard"," Higher standard"
"Boys","All","50","5"
"Boys","Asian","52","5"
"Boys","Bangladeshi","53","4"
"Boys","Indian","60","8"
"Boys","Pakistani","43","3"
"Boys","Asian other","58","8"
"Boys","Black","47","3"
"Boys","Black African","50","4"
"Boys","Black Caribbean","39","2"
"Boys","Black other","44","2"
"Boys","Chinese","66","15"
"Boys","Mixed","51","5"
"Boys","Mixed White/Asian","60","8"
"Boys","Mixed White/Black African","49","4"
"Boys","Mixed White/Black Caribbean","43","3"
"Boys","Mixed other","53","6"
"Boys","White","50","5"
"Boys","White British","50","5"
"Boys","White Irish","57","8"
"Boys","White Irish Traveller","15","!"
"Boys","White Gypsy/Roma","11","!"
"Boys","White other","45","5"
"Boys","Other","46","4"
"Girls","All","57","6"
"Girls","Asian","59","7"
"Girls","Bangladeshi","60","6"
"Girls","Indian","69","12"
"Girls","Pakistani","51","4"
"Girls","Asian other","64","10"
"Girls","Black","55","5"
"Girls","Black African","58","6"
"Girls","Black Caribbean","47","3"
"Girls","Black other","52","4"
"Girls","Chinese","75","21"
"Girls","Mixed","60","8"
"Girls","Mixed White/Asian","67","11"
"Girls","Mixed White/Black African","60","6"
"Girls","Mixed White/Black Caribbean","53","4"
"Girls","Mixed other","62","9"
"Girls","White","57","6"
"Girls","White British","58","6"
"Girls","White Irish","67","12"
"Girls","White Irish Traveller","24","!"
"Girls","White Gypsy/Roma","14","!"
"Girls","White other","51","6"
"Girls","Other","54","5"
