"","Boys","","Girls",""
"Ethnicity","Expected standard"," Higher standard","Expected standard"," Higher standard"
"All","50","5","57","6"
"Asian","52","5","59","7"
"Bangladeshi","53","4","60","6"
"Indian","60","8","69","12"
"Pakistani","43","3","51","4"
"Asian other","58","8","64","10"
"Black","47","3","55","5"
"Black African","50","4","58","6"
"Black Caribbean","39","2","47","3"
"Black other","44","2","52","4"
"Chinese","66","15","75","21"
"Mixed","51","5","60","8"
"Mixed White/Asian","60","8","67","11"
"Mixed White/Black African","49","4","60","6"
"Mixed White/Black Caribbean","43","3","53","4"
"Mixed other","53","6","62","9"
"White","50","5","57","6"
"White British","50","5","58","6"
"White Irish","57","8","67","12"
"White Irish Traveller","15","!","24","!"
"White Gypsy/Roma","11","!","14","!"
"White other","45","5","51","6"
"Other","46","4","54","5"
