"Title","Economic inactivity by ethnicity and qualification level"
"Location","England, Wales and Scotland"
"Time period","2017"
"Data source","Annual Population Survey"
"Data source link","https://www.nomisweb.co.uk/query/select/getdatasetbytheme.asp?opt%3D3%26theme%3D%26subgrp%3D&sa=D&ust=1505757273319000&usg=AFQjCNFnS64ZDSibYXaOTf54ZPpw97wNXg"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated",""

"Ethnicity","Highest qualification held",""
"All","All","19%"
"All","Level 4 and above","12%"
"All","Level 3","14%"
"All","Level 2","21%"
"All","Below Level 2","25%"
"All","Other qualifications","21%"
"All","No qualifications","49%"
"Asian","All","26%"
"Asian","Level 4 and above","14%"
"Asian","Level 3","21%"
"Asian","Level 2","33%"
"Asian","Below Level 2","37%"
"Asian","Other qualifications","29%"
"Asian","No qualifications","56%"
"Black","All","20%"
"Black","Level 4 and above","10%"
"Black","Level 3","17%"
"Black","Level 2","27%"
"Black","Below Level 2","27%"
"Black","Other qualifications","29%"
"Black","No qualifications","54%"
"Mixed","All","21%"
"Mixed","Level 4 and above","13%"
"Mixed","Level 3","13%"
"Mixed","Level 2","25%"
"Mixed","Below Level 2","33%"
"Mixed","Other qualifications","?"
"Mixed","No qualifications","53%"
"White","All","18%"
"White","Level 4 and above","11%"
"White","Level 3","14%"
"White","Level 2","20%"
"White","Below Level 2","24%"
"White","Other qualifications","18%"
"White","No qualifications","48%"
"Other","All","27%"
"Other","Level 4 and above","17%"
"Other","Level 3","27%"
"Other","Level 2","35%"
"Other","Below Level 2","41%"
"Other","Other qualifications","29%"
"Other","No qualifications","52%"
