"Title","Economically inactive women by ethnicity and qualification level"
"Location","England, Wales and Scotland"
"Time period","2016"
"Data source","Annual Population Survey"
"Data source link","https://www.nomisweb.co.uk/query/select/getdatasetbytheme.asp?opt%3D3%26theme%3D%26subgrp%3D&sa=D&ust=1505757273319000&usg=AFQjCNFnS64ZDSibYXaOTf54ZPpw97wNXg"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","-"

"Ethnicity","Highest qualification held",""
"All","All","25%"
"All","Level 4 and above","15%"
"All","Level 3","19%"
"All","Level 2","27%"
"All","Below level 2","35%"
"All","Other qualifications","32%"
"All","No qualifications","61%"
"Asian","All","41%"
"Asian","Level 4 and above","24%"
"Asian","Level 3","36%"
"Asian","Level 2","42%"
"Asian","Below level 2","53%"
"Asian","Other qualifications","54%"
"Asian","No qualifications","78%"
"Black","All","24%"
"Black","Level 4 and above","13%"
"Black","Level 3","25%"
"Black","Level 2","29%"
"Black","Below level 2","39%"
"Black","Other qualifications","39%"
"Black","No qualifications","49%"
"Mixed","All","26%"
"Mixed","Level 4 and above","10%"
"Mixed","Level 3","25%"
"Mixed","Level 2","38%"
"Mixed","Below level 2","?"
"Mixed","Other qualifications","?"
"Mixed","No qualifications","?"
"White","All","24%"
"White","Level 4 and above","14%"
"White","Level 3","18%"
"White","Level 2","26%"
"White","Below level 2","34%"
"White","Other qualifications","26%"
"White","No qualifications","59%"
"Other","All","38%"
"Other","Level 4 and above","28%"
"Other","Level 3","34%"
"Other","Level 2","42%"
"Other","Below level 2","55%"
"Other","Other qualifications","39%"
"Other","No qualifications","70%"
