"Title","Economic inactivity by qualification level"
"Location","England, Wales and Scotland"
"Time period","2017"
"Data source","Department for Education"
"Data source link","https://www.nomisweb.co.uk/query/select/getdatasetbytheme.asp?opt%3D3%26theme%3D%26subgrp%3D&sa=D&ust=1505757273319000&usg=AFQjCNFnS64ZDSibYXaOTf54ZPpw97wNXg"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","2018-10-05"
"Measure","Ethnicity","Ethnicity_type","Time","Time_type","Geography","Geography code","Geography_type","Gender","Age","Highest qualification held","Qualification_type","Value","Value_type","Denominator","Numerator","upper 95% CI","lower 95% CI","Sample size"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","White","ONS 2001 5+1","2012","Year","Great Britain","K03000001","Country","Male","16-64","Level 4 and above","National Qualifications Framework (NQF) level","7.6","%","5,258,672","399,225","7.90%","7.30%","23,895"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Mixed","ONS 2001 5+1","2012","Year","Great Britain","K03000001","Country","Male","16-64","Level 4 and above","National Qualifications Framework (NQF) level","4.5","%","65,297","2,970","8.80%","0.30%","233"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Asian","ONS 2001 5+1","2012","Year","Great Britain","K03000001","Country","Male","16-64","Level 4 and above","National Qualifications Framework (NQF) level","4.2","%","485,907","20,270","5.60%","2.70%","1,856"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Black","ONS 2001 5+1","2012","Year","Great Britain","K03000001","Country","Male","16-64","Level 4 and above","National Qualifications Framework (NQF) level","6.5","%","172,195","11,125","9.50%","3.40%","632"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Other","ONS 2001 5+1","2012","Year","Great Britain","K03000001","Country","Male","16-64","Level 4 and above","National Qualifications Framework (NQF) level","8.6","%","167,569","14,440","12.00%","5.20%","645"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Ethnic minority (exc White minorities)","ONS 2001 5+1","2012","Year","Great Britain","K03000001","Country","Male","16-64","Level 4 and above","National Qualifications Framework (NQF) level","5.5","%","890,968","48,805","6.70%","4.30%","3,366"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Unknown","ONS 2001 5+1","2012","Year","Great Britain","K03000001","Country","Male","16-64","Level 4 and above","National Qualifications Framework (NQF) level","?","%"," ? "," ? ","?","?"," ? "
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","All","ONS 2001 5+1","2012","Year","Great Britain","K03000001","Country","Male","16-64","Level 4 and above","National Qualifications Framework (NQF) level","7.3","%","6,153,963","448,840","7.60%","7.00%","27,281"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","White","ONS 2001 5+1","2012","Year","Great Britain","K03000001","Country","Male","16-64","Level 3","National Qualifications Framework (NQF) level","10.6","%","3,197,019","339,524","11.10%","10.10%","15,559"
"Percentage of 16 to 64 year olds who were economically inactive and not in full-time education by qualification level","Mixed","ONS 2001 5+1","2012","Year","Great Britain","K03000001","Country","Male","16-64","Level 3","National Qualifications Framework (NQF) level","15.1","%","26,186","3,961","26.10%","4.10%","102"
