"Title","Pupil progress (‘Progress 8’) between ages 11 and 16 (key stage 2 to key stage 4)"
"Location","England"
"Time period","2015/16"
"Data source","Department for Education"
"Data source link","https://www.gov.uk/government/statistics/revised-gcse-and-equivalent-results-in-england-2015-to-2016"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","-"
"Measure","Time","Time Type","Ethnicity","Ethnicity Type","Geography","Geography type","ONS geography code","Gender","FSM","Admission Basis","Type of School","SEN","Religious character","Value","Denominator","Lower confidence interval","Upper confidence interval"
"Average Progress 8 score","2016","Academic year","White","White/Mixed/Asian/Black/Chinese","England","Country","E92000001","All pupils","All pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded mainstream schools","-0.06","399627","-0.06","-0.05"
"Average Progress 8 score","2016","Academic year","Mixed","White/Mixed/Asian/Black/Chinese","England","Country","E92000001","All pupils","All pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded mainstream schools","-0.01","20948","-0.03","0"
"Average Progress 8 score","2016","Academic year","Asian","White/Mixed/Asian/Black/Chinese","England","Country","E92000001","All pupils","All pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded mainstream schools","0.34","45767","0.33","0.34"
"Average Progress 8 score","2016","Academic year","Black","White/Mixed/Asian/Black/Chinese","England","Country","E92000001","All pupils","All pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded mainstream schools","0.21","23807","0.2","0.22"
"Average Progress 8 score","2016","Academic year","Chinese","White/Mixed/Asian/Black/Chinese","England","Country","E92000001","All pupils","All pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded mainstream schools","0.7","1588","0.65","0.75"
"Average Progress 8 score","2016","Academic year","All pupils","All pupils","England","Country","E92000001","All pupils","All pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded mainstream schools","0","502780","0","0"
"Average Progress 8 score","2016","Academic year","White","White/Mixed/Asian/Black/Chinese","England","Country","E92000001","Boys","All pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded mainstream schools","-0.18","201611","-0.18","-0.17"
"Average Progress 8 score","2016","Academic year","Mixed","White/Mixed/Asian/Black/Chinese","England","Country","E92000001","Boys","All pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded mainstream schools","-0.14","10474","-0.16","-0.12"
"Average Progress 8 score","2016","Academic year","Asian","White/Mixed/Asian/Black/Chinese","England","Country","E92000001","Boys","All pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded mainstream schools","0.2","23480","0.18","0.21"
"Average Progress 8 score","2016","Academic year","Black","White/Mixed/Asian/Black/Chinese","England","Country","E92000001","Boys","All pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded mainstream schools","0.04","11718","0.02","0.06"
"Average Progress 8 score","2016","Academic year","Chinese","White/Mixed/Asian/Black/Chinese","England","Country","E92000001","Boys","All pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded mainstream schools","0.59","804","0.52","0.66"
"Average Progress 8 score","2016","Academic year","All pupils","All pupils","England","Country","E92000001","Boys","All pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded mainstream schools","-0.12","253730","-0.13","-0.12"
"Average Progress 8 score","2016","Academic year","White","White/Mixed/Asian/Black/Chinese","England","Country","E92000001","Girls","All pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded mainstream schools","0.07","198016","0.07","0.07"
"Average Progress 8 score","2016","Academic year","Mixed","White/Mixed/Asian/Black/Chinese","England","Country","E92000001","Girls","All pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded mainstream schools","0.12","10474","0.1","0.14"
"Average Progress 8 score","2016","Academic year","Asian","White/Mixed/Asian/Black/Chinese","England","Country","E92000001","Girls","All pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded mainstream schools","0.48","22287","0.47","0.49"
"Average Progress 8 score","2016","Academic year","Black","White/Mixed/Asian/Black/Chinese","England","Country","E92000001","Girls","All pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded mainstream schools","0.37","12089","0.35","0.39"
"Average Progress 8 score","2016","Academic year","Chinese","White/Mixed/Asian/Black/Chinese","England","Country","E92000001","Girls","All pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded mainstream schools","0.82","784","0.74","0.89"
"Average Progress 8 score","2016","Academic year","All pupils","All pupils","England","Country","E92000001","Girls","All pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded mainstream schools","0.13","249050","0.13","0.13"
"Average Progress 8 score","2016","Academic year","White","White/Mixed/Asian/Black/Chinese","England","Country","E92000001","All pupils","All pupils","All state-funded schools","All state-funded schools","All pupils","All state-funded schools","-0.09","407271","-0.09","-0.08"
