"Title","Pupil progress (‘Progress 8’) by ethnicity, special educational needs and gender"
"Location","England"
"Time period","2015/16"
"Data source","Revised GCSE and equivalent results in England: 2015 to 2016"
"Data source link","https://www.gov.uk/government/statistics/revised-gcse-and-equivalent-results-in-england-2015-to-2016"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","-"

"Standard Ethnicity","SEN","All","Boys","Girls"
"All","All SEN","-0.55","-0.62","-0.42"
"All","No identified SEN","0.06","-0.06","0.18"
"All","SEN Support","-0.38","-0.44","-0.30"
"All","SEN with a statement or EHC plan","-1.03","-1.05","-0.97"
"Asian","All SEN","-0.25","-0.32","-0.13"
"Asian","No identified SEN","0.38","0.25","0.52"
"Asian","SEN Support","-0.04","-0.13","0.09"
"Asian","SEN with a statement or EHC plan","-0.86","-0.84","-0.91"
"Chinese","All SEN","0.32","0.14","0.62"
"Chinese","No identified SEN","0.70","0.60","0.81"
"Chinese","SEN Support","0.85","0.67","1.09"
"Chinese","SEN with a statement or EHC plan","-0.58","-0.51","-0.83"
"Black","All SEN","-0.34","-0.45","-0.14"
"Black","No identified SEN","0.27","0.10","0.42"
"Black","SEN Support","-0.13","-0.22","0.00"
"Black","SEN with a statement or EHC plan","-0.96","-1.01","-0.81"
"Mixed","All SEN","-0.61","-0.69","-0.47"
"Mixed","No identified SEN","0.06","-0.06","0.18"
"Mixed","SEN Support","-0.47","-0.53","-0.39"
"Mixed","SEN with a statement or EHC plan","-1.04","-1.07","-0.96"
"White","All SEN","-0.59","-0.66","-0.47"
"White","No identified SEN","0.00","-0.12","0.12"
"White","SEN Support","-0.43","-0.48","-0.35"
"White","SEN with a statement or EHC plan","-1.05","-1.07","-0.99"
