"Measure","Academic Year","Time","Time Type","Ethnicity","Ethnicity Type","Geography","Geography type","ONS geography code","Gender","FSM","Admission Basis","Type of School","SEN","Religious character","Value","Denominator","Lower confidence interval","Upper confidence interval","",""
"Average Progress 8 score","2016/17","2017","Academic year","White","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All pupils","All pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","-0.11","391019","-0.12","-0.11","",""
"Average Progress 8 score","2016/17","2017","Academic year","White - British","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","All pupils","All pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","-0.14","370700","-0.15","-0.14","",""
"Average Progress 8 score","2016/17","2017","Academic year","White - Irish","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","All pupils","All pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","0.08","1515","0.02","0.15","",""
"Average Progress 8 score","2016/17","2017","Academic year","White - Irish Traveller","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","All pupils","All pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","-1.13","112","-1.36","-0.91","",""
"Average Progress 8 score","2016/17","2017","Academic year","White - Gypsy/Roma","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","All pupils","All pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","-0.80","717","-0.89","-0.71","",""
"Average Progress 8 score","2016/17","2017","Academic year","White - Any other","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","All pupils","All pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","0.49","17975","0.47","0.50","",""
"Average Progress 8 score","2016/17","2017","Academic year","Mixed","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All pupils","All pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","-0.02","21851","-0.04","0.00","",""
"Average Progress 8 score","2016/17","2017","Academic year","Mixed - White and Black - Caribbean","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","All pupils","All pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","-0.33","6894","-0.36","-0.30","",""
"Average Progress 8 score","2016/17","2017","Academic year","Mixed - White and Black - African","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","All pupils","All pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","0.08","2451","0.03","0.13","",""
"Average Progress 8 score","2016/17","2017","Academic year","Mixed - White and Asian","Ethnicities used by the National Pupil Database (19)","England","Country","E92000001","All pupils","All pupils","All state-funded schools","All state-funded schools","All state-funded schools","All state-funded schools","0.16","4796","0.13","0.19","",""
