"Title","Pupil progress (‘Progress 8’) by ethnicity, religion of school and gender"
"Location","England"
"Time period","2015/16"
"Data source","Revised GCSE and equivalent results in England: 2015 to 2016"
"Data source link","https://www.gov.uk/government/statistics/revised-gcse-and-equivalent-results-in-england-2015-to-2016"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","-"

"Ethnicity","Religious character","All","Boys","Girls"
"All pupils","All state-funded mainstream schools","0.00","-0.12","0.13"
"All pupils","Church of England schools","0.02","-0.09","0.14"
"All pupils","Jewish schools","0.44","0.34","0.53"
"All pupils","Muslim schools","0.78","0.61","0.84"
"All pupils","No religious character","-0.01","-0.13","0.12"
"All pupils","Other Christian faith schools","-0.01","-0.13","0.13"
"All pupils","Roman Catholic schools","0.08","-0.04","0.20"
"All pupils","Sikh schools","0.34","0.14","0.55"
"Asian","All state-funded mainstream schools","0.34","0.20","0.48"
"Asian","Church of England schools","0.33","0.22","0.48"
"Asian","Jewish schools","0.72","0.88","0.55"
"Asian","Muslim schools","0.79","0.63","0.84"
"Asian","No religious character","0.32","0.18","0.46"
"Asian","Other Christian faith schools","0.42","0.31","0.55"
"Asian","Roman Catholic schools","0.46","0.31","0.62"
"Asian","Sikh schools","!","!","!"
"Black","All state-funded mainstream schools","0.21","0.04","0.37"
"Black","Church of England schools","0.11","-0.08","0.29"
"Black","Jewish schools","0.63","0.81","0.41"
"Black","Muslim schools","0.52","0.09","0.69"
"Black","No religious character","0.19","0.03","0.36"
"Black","Other Christian faith schools","0.15","-0.01","0.36"
"Black","Roman Catholic schools","0.31","0.14","0.45"
"Black","Sikh schools","!","!","!"
"Chinese","All state-funded mainstream schools","0.70","0.59","0.82"
"Chinese","Church of England schools","0.75","0.56","0.99"
"Chinese","Jewish schools","!","!","!"
"Chinese","Muslim schools","N/A","N/A","N/A"
"Chinese","No religious character","0.71","0.60","0.82"
"Chinese","Other Christian faith schools","0.71","0.67","0.75"
"Chinese","Roman Catholic schools","0.61","0.49","0.70"
"Chinese","Sikh schools","!","!","!"
"Mixed","All state-funded mainstream schools","-0.01","-0.14","0.12"
"Mixed","Church of England schools","-0.06","-0.18","0.06"
"Mixed","Jewish schools","0.53","0.49","0.56"
"Mixed","Muslim schools","0.26","!","!"
"Mixed","No religious character","-0.03","-0.16","0.11"
"Mixed","Other Christian faith schools","0.08","-0.03","0.22"
"Mixed","Roman Catholic schools","0.08","-0.02","0.18"
"Mixed","Sikh schools","!","!","!"
"White","All state-funded mainstream schools","-0.06","-0.18","0.07"
"White","Church of England schools","-0.02","-0.13","0.10"
"White","Jewish schools","0.42","0.36","0.47"
"White","Muslim schools","!","N/A","!"
"White","No religious character","-0.07","-0.19","0.06"
"White","Other Christian faith schools","-0.09","-0.21","0.05"
"White","Roman Catholic schools","0.01","-0.11","0.12"
"White","Sikh schools","!","!","!"
